,Unnamed: 0.1.1,Name,Score
0,0.0,Ajin,8
1,1.0,Akame ga Kill!,10
3,3.0,Akira,6
5,5.0,Aldnoah.Zero,10
7,7.0,Amagi Brilliant Park,7
8,8.0,Angel Beats!,8
11,11.0,Ben-To,9
12,12.0,Black Bullet,9
14,14.0,Boku dake ga Inai Machi,10
16,16.0,Charlotte,10
17,17.0,Chuunibyou demo Koi ga Shitai!,9
18,18.0,Chuunibyou demo Koi ga Shitai! Ren,9
21,21.0,Date A Live,8
22,22.0,Date A Live II,8
23,23.0,Death Note,8
24,24.0,Death Parade,10
29,29.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,10
33,33.0,Fate/stay night: Unlimited Blade Works,9
35,35.0,Fate/stay night: Unlimited Blade Works 2nd Season,9
36,36.0,Fate/Zero,9
37,37.0,Fullmetal Alchemist: Brotherhood,10
42,42.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7
43,43.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7
44,44.0,God Eater,10
46,46.0,Golden Time,7
47,47.0,Grisaia no Kajitsu,8
48,48.0,Grisaia no Rakuen,8
49,49.0,Guilty Crown,9
54,54.0,Hataraku Maou-sama!,8
55,55.0,High School DxD,7
56,56.0,High School DxD BorN,7
57,57.0,High School DxD New,7
58,58.0,Highschool of the Dead,10
59,59.0,Hitsugi no Chaika,10
67,67.0,K,8
68,68.0,K: Return of Kings,8
69,69.0,Kami nomi zo Shiru Sekai,7
71,71.0,Kara no Kyoukai 1: Fukan Fuukei,8
74,74.0,Kill la Kill,8
76,76.0,Kingsglaive: Final Fantasy XV,10
77,77.0,Kiseijuu: Sei no Kakuritsu,10
78,78.0,Koe no Katachi,10
79,79.0,Kono Subarashii Sekai ni Shukufuku wo!,9
80,80.0,Kore wa Zombie Desu ka?,9
81,81.0,Kore wa Zombie Desu ka? of the Dead,9
85,85.0,Log Horizon,10
86,86.0,Log Horizon 2nd Season,10
88,88.0,Magi: The Kingdom of Magic,8
89,89.0,Magi: The Labyrinth of Magic,8
90,90.0,Mahouka Koukou no Rettousei,9
92,92.0,Mirai Nikki (TV),7
96,96.0,Nanatsu no Taizai,8
98,98.0,No Game No Life,10
99,99.0,Noragami,9
100,100.0,Noragami Aragoto,9
101,101.0,One Punch Man,9
104,104.0,Overlord,9
105,105.0,Owari no Seraph,7
106,106.0,Owari no Seraph: Nagoya Kessen-hen,7
107,107.0,Plastic Memories,7
109,109.0,Rakudai Kishi no Cavalry,7
111,111.0,Re:Zero kara Hajimeru Isekai Seikatsu,9
116,116.0,Sakasama no Patema,10
117,117.0,Sakurasou no Pet na Kanojo,10
124,124.0,Shaman King,10
125,125.0,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7
126,126.0,Shingeki no Kyojin,9
127,127.0,Shingeki no Kyojin Season 2,10
130,130.0,Shokugeki no Souma,10
131,131.0,Sidonia no Kishi,10
132,132.0,Sidonia no Kishi: Daikyuu Wakusei Seneki,9
133,133.0,Steins;Gate,10
138,138.0,Sword Art Online,10
143,143.0,Toaru Majutsu no Index,9
144,144.0,Toaru Majutsu no Index II,9
145,145.0,Toaru Majutsu no Index: Endymion no Kiseki,9
146,146.0,Tokyo Ghoul,10
150,150.0,Towa no Quon 1: Utakata no Kaben,7
152,152.0,Trinity Seven,9
153,153.0,Yamada-kun to 7-nin no Majo (TV),10
