,Unnamed: 0.1.1,Name,Score
3,3,Akagami no Shirayuki-hime,6
5,5,Akame ga Kill!,6
7,7,Akatsuki no Yona,8
14,14,Amaama to Inazuma,7
19,19,Angel Beats!,8
22,22,Another,9
25,25,Ansatsu Kyoushitsu (TV),8
26,26,Ao no Exorcist,8
27,27,Ao no Exorcist Movie,8
32,32,Arslan Senki (TV),7
33,33,Arslan Senki (TV): Fuujin Ranbu,6
36,36,Bakemonogatari,10
38,38,Berserk: Ougon Jidai-hen I - Haou no Tamago,7
46,46,Blood+,8
51,51,Boku dake ga Inai Machi,8
54,54,Boku wa Tomodachi ga Sukunai,9
56,56,Boku wa Tomodachi ga Sukunai Next,10
59,59,Byousoku 5 Centimeter,8
73,73,Charlotte,7
75,75,Cheonnyeon-yeowoo Yeowoobi,7
77,77,Chuunibyou demo Koi ga Shitai!,7
78,78,Clannad,9
88,88,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7
89,89,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,8
90,90,Date A Live,8
91,91,Date A Live II,8
92,92,Date A Live Movie: Mayuri Judgment,8
95,95,Death Billiards,7
96,96,Death Note,8
98,98,Death Parade,9
102,102,Digimon Adventure Movie,9
106,106,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
108,108,Elfen Lied,9
116,116,Evangelion: 1.0 You Are (Not) Alone,8
117,117,Evangelion: 2.0 You Can (Not) Advance,10
118,118,Evangelion: 3.0 You Can (Not) Redo,8
128,128,Fate/stay night Movie: Unlimited Blade Works,8
129,129,Fate/stay night: Unlimited Blade Works,10
131,131,Fate/stay night: Unlimited Blade Works 2nd Season,9
133,133,Fate/Zero,10
134,134,Fate/Zero 2nd Season,9
137,137,FLCL,10
138,138,Free!,6
141,141,Fullmetal Alchemist,10
142,142,Fullmetal Alchemist: Brotherhood,9
143,143,Fullmetal Alchemist: The Sacred Star of Milos,7
152,152,Ga-Rei: Zero,10
153,153,Gakkou no Kaidan,8
154,154,Gakkougurashi!,8
156,156,Gangsta.,8
157,157,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7
158,158,Gekkan Shoujo Nozaki-kun,8
161,161,Gochuumon wa Usagi desu ka?,8
162,162,God Eater,6
167,167,Grisaia no Rakuen,7
170,170,Guilty Crown,8
175,175,Haikyuu!!,8
178,178,Hana to Alice: Satsujin Jiken,9
179,179,Hanamonogatari,10
181,181,Harmonie,9
182,182,Hello!! Kiniro Mosaic,9
184,184,Hellsing,10
187,187,Hibike! Euphonium,9
190,190,Highschool of the Dead,8
192,192,Higurashi no Naku Koro ni,8
194,194,Himouto! Umaru-chan,7
198,198,Hotaru no Haka,9
199,199,Hotarubi no Mori e,9
202,202,Howl no Ugoku Shiro,7
212,212,InuYasha,8
221,221,JoJo no Kimyou na Bouken (TV),8
223,223,Junjou Romantica,7
225,225,K-On!,9
226,226,K-On! Movie,10
227,227,K-On!!,8
232,232,Kaichou wa Maid-sama!,9
240,240,Kara no Kyoukai 1: Fukan Fuukei,7
241,241,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),7
242,242,Kara no Kyoukai 3: Tsuukaku Zanryuu,9
243,243,Kara no Kyoukai 4: Garan no Dou,7
244,244,Kara no Kyoukai 5: Mujun Rasen,8
245,245,Kara no Kyoukai 6: Boukyaku Rokuon,7
246,246,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),7
253,253,Kekkai Sensen,7
254,254,Kill la Kill,10
257,257,Kimi no Na wa.,9
260,260,Kizumonogatari I: Tekketsu-hen,5
261,261,Kizumonogatari II: Nekketsu-hen,9
