,Unnamed: 0.1.1,Name,Score
0,0,Accel World,9
1,1,Air,7
2,2,Air Gear,8
3,3,Akame ga Kill!,9
4,4,Angel Beats!,8
5,5,Another,8
6,6,Ansatsu Kyoushitsu (TV),9
7,7,Ao no Exorcist,9
8,8,Ao no Exorcist: Kyoto Fujouou-hen,9
10,10,Bakuman.,7
11,11,Bakuman. 2nd Season,7
12,12,Bakuman. 3rd Season,7
13,13,Beck,7
14,14,Beelzebub,9
16,16,Ben-To,8
17,17,Black Bullet,10
19,19,Boku no Hero Academia,9
21,21,Btooom!,9
22,22,C: The Money of Soul and Possibility Control,8
23,23,Claymore,8
24,24,Code Geass: Hangyaku no Lelouch,8
26,26,Code Geass: Hangyaku no Lelouch R2,8
30,30,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,9
31,31,Death Note,10
32,32,Death Parade,9
33,33,Dragon Ball,8
34,34,Dragon Ball Kai,8
35,35,Dragon Ball Z,8
36,36,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,10
38,38,Elfen Lied,7
40,40,Eyeshield 21,9
42,42,Free!,9
43,43,Free!: Eternal Summer,9
45,45,Fruits Basket,7
46,46,Fullmetal Alchemist,9
47,47,Fullmetal Alchemist: Brotherhood,9
48,48,Gake no Ue no Ponyo,7
49,49,Gangsta.,8
51,51,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",10
52,52,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",10
53,53,God Eater,7
54,54,Great Teacher Onizuka,8
55,55,Groove Adventure Rave,6
56,56,Hai to Gensou no Grimgar,9
58,58,Hellsing,7
59,59,High School DxD,8
60,60,High School DxD BorN,8
63,63,High School DxD New,8
67,67,Highschool of the Dead,8
68,68,Hunter x Hunter,8
73,73,Katekyo Hitman Reborn!,9
75,75,Kenpuu Denki Berserk,8
76,76,Kiseijuu: Sei no Kakuritsu,8
77,77,Kuroshitsuji,8
78,78,Kuroshitsuji II,8
82,82,Kuroshitsuji: Book of Circus,8
84,84,Log Horizon,8
85,85,Log Horizon 2nd Season,8
87,87,Magi: Sinbad no Bouken (TV),9
88,88,Magi: The Kingdom of Magic,9
89,89,Magi: The Labyrinth of Magic,9
90,90,Maoyuu Maou Yuusha,7
91,91,Mirai Nikki (TV),8
94,94,Mob Psycho 100,8
95,95,Nanatsu no Taizai,9
97,97,Nanbaka,8
98,98,Naruto,8
99,99,No Game No Life,9
101,101,One Punch Man,9
102,102,Overlord,10
104,104,Owari no Seraph,9
105,105,Owari no Seraph: Nagoya Kessen-hen,9
109,109,Prison School,9
111,111,Rokka no Yuusha,10
112,112,Sankarea,4
115,115,Shingeki no Kyojin,10
116,116,Shingeki no Kyojin Season 2,10
117,117,Shokugeki no Souma,9
118,118,Shokugeki no Souma: Ni no Sara,9
119,119,Sword Art Online,10
124,124,Tales of Zestiria the X,8
125,125,Tales of Zestiria the X 2nd Season,8
128,128,Tokyo Ghoul,9
132,132,Tonari no Seki-kun,9
134,134,Vampire Knight Guilty,5
138,138,Zero no Tsukaima,7
139,139,Zero no Tsukaima F,7
140,140,Zero no Tsukaima: Futatsuki no Kishi,7
141,141,Zero no Tsukaima: Princesses no Rondo,7
