,Unnamed: 0.1.1,Name,Score
2,2,Accel World,9
5,5,Ajin,8
6,6,Ajin 2nd Season,8
7,7,Ajin Part 1: Shoudou,8
9,9,Another,6
13,13,Ansatsu Kyoushitsu (TV),7
15,15,Ao no Exorcist,7
16,16,Ao no Exorcist Movie,6
21,21,Baby Steps,10
22,22,Baby Steps 2nd Season,10
26,26,Boku dake ga Inai Machi,10
27,27,Boku no Hero Academia,8
30,30,Boruto: Naruto the Movie,7
35,35,Charlotte,9
38,38,Clannad,7
40,40,Clannad: After Story,8
45,45,Coquelicot-zaka kara,9
48,48,Deadman Wonderland,7
50,50,Death Billiards,8
51,51,Death Note,10
53,53,Death Parade,6
54,54,Digimon Adventure Movie,7
56,56,Durarara!!,10
57,57,Elfen Lied,7
60,60,Evangelion: 1.0 You Are (Not) Alone,9
62,62,Gake no Ue no Ponyo,8
63,63,Gakkougurashi!,7
65,65,Gangsta.,7
67,67,Handa-kun,10
68,68,Heisei Tanuki Gassen Ponpoko,8
70,70,High School DxD,7
71,71,High School DxD BorN,6
73,73,High School DxD New,6
77,77,Highschool of the Dead,7
79,79,Himouto! Umaru-chan,9
82,82,Hotaru no Haka,10
83,83,Howl no Ugoku Shiro,9
86,86,Karigurashi no Arrietty,8
87,87,Kiseijuu: Sei no Kakuritsu,10
88,88,Koe no Katachi,10
89,89,Kurenai no Buta,8
91,91,Mimi wo Sumaseba,9
92,92,Mind Game,8
94,94,Mirai Nikki (TV),7
98,98,Naruto,9
111,111,Naruto: Shippuuden Movie 1,7
112,112,Naruto: Shippuuden Movie 2 - Kizuna,7
113,113,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7
114,114,Naruto: Shippuuden Movie 4 - The Lost Tower,7
115,115,Naruto: Shippuuden Movie 5 - Blood Prison,6
116,116,Naruto: Shippuuden Movie 6 - Road to Ninja,6
122,122,No Game No Life,10
124,124,Noragami,9
125,125,Noragami Aragoto,9
130,130,One Piece Film: Strong World,8
132,132,One Piece Film: Z,7
136,136,One Piece Movie 4: Dead End no Bouken,7
137,137,One Piece Movie 5: Norowareta Seiken,6
138,138,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,5
139,139,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,6
140,140,One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,5
141,141,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",5
162,162,One Punch Man,9
165,165,Ore Monogatari!!,8
166,166,Overlord,7
170,170,Prison School,10
178,178,Sekirei: Pure Engagement,7
180,180,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,8
181,181,Shingeki no Kyojin,9
182,182,Shingeki no Kyojin Movie 1: Guren no Yumiya,6
183,183,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,6
189,189,Soul Eater,8
191,191,Tengen Toppa Gurren Lagann,10
196,196,The Last: Naruto the Movie,9
197,197,Tokyo Ghoul,8
202,202,Tonari no Totoro,10
