,Unnamed: 0.1.1,Name,Score
0,0,Angel Beats!,9
1,1,Bakemonogatari,9
2,2,Black Lagoon,8
3,3,Black Lagoon: The Second Barrage,8
4,4,Boku no Hero Academia,7
5,5,Code Geass: Hangyaku no Lelouch,10
6,6,Code Geass: Hangyaku no Lelouch R2,10
7,7,Cowboy Bebop,9
8,8,Death Note,9
9,9,Elfen Lied,7
10,10,Evangelion: 2.0 You Can (Not) Advance,9
11,11,Fate/stay night: Unlimited Blade Works,7
12,12,Fullmetal Alchemist,9
13,13,Gabriel DropOut,7
15,15,God Eater,7
16,16,Hanamonogatari,8
17,17,Howl no Ugoku Shiro,8
18,18,Hyouka,8
19,19,Katanagatari,7
20,20,Kill la Kill,9
21,21,Kimi no Na wa.,10
22,22,Kizumonogatari I: Tekketsu-hen,8
23,23,Kizumonogatari II: Nekketsu-hen,8
24,24,Kizumonogatari III: Reiketsu-hen,9
25,25,Kono Subarashii Sekai ni Shukufuku wo!,9
26,26,Kono Subarashii Sekai ni Shukufuku wo! 2,9
29,29,Mahou Shoujo Madoka Magica,9
31,31,Mob Psycho 100,7
32,32,Mobile Suit Gundam 00,9
33,33,Mobile Suit Gundam 00 Second Season,9
35,35,Mobile Suit Gundam Seed,8
38,38,Mobile Suit Gundam Wing,7
39,39,Mobile Suit Gundam Wing: Endless Waltz Movie,8
40,40,Mobile Suit Gundam: Iron-Blooded Orphans,8
41,41,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,7
42,42,Monogatari Series: Second Season,9
43,43,Mononoke Hime,8
44,44,Nanatsu no Taizai,7
45,45,Nekomonogatari: Kuro,9
46,46,Neon Genesis Evangelion,10
47,47,Neon Genesis Evangelion: The End of Evangelion,9
48,48,Nisemonogatari,9
49,49,No Game No Life,8
50,50,One Punch Man,10
51,51,Owarimonogatari,8
52,52,Owarimonogatari 2nd Season,9
53,53,Psycho-Pass,8
54,54,Psycho-Pass 2,7
55,55,Psycho-Pass Movie,7
56,56,Re:Zero kara Hajimeru Isekai Seikatsu,9
57,57,Rurouni Kenshin: Meiji Kenkaku Romantan,9
58,58,Sen to Chihiro no Kamikakushi,8
59,59,Shingeki no Kyojin,10
60,60,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,7
61,61,Steins;Gate,9
63,63,Suzumiya Haruhi no Shoushitsu,9
64,64,Suzumiya Haruhi no Yuuutsu,9
65,65,Tengen Toppa Gurren Lagann,10
66,66,Tenkuu no Escaflowne,8
67,67,Tsukimonogatari,9
68,68,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,9
69,69,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,9
