,Unnamed: 0.1.1,Name,Score
5,5.0,Afro Samurai,7
6,6.0,Akame ga Kill!,7
15,15.0,Ansatsu Kyoushitsu (TV),7
16,16.0,Ansatsu Kyoushitsu (TV) 2nd Season,7
17,17.0,Ao no Exorcist,6
19,19.0,Arashi no Yoru ni,7
21,21.0,Arslan Senki (TV),8
24,24.0,Azumanga Daioh,9
26,26.0,Baccano!,9
27,27.0,Baka to Test to Shoukanjuu,6
28,28.0,Baka to Test to Shoukanjuu Ni!,6
32,32.0,Basilisk: Kouga Ninpou Chou,7
36,36.0,Boku no Hero Academia,9
39,39.0,Bungou Stray Dogs,9
40,40.0,Bungou Stray Dogs 2nd Season,9
199,199.0,Mousou Dairinin,4
