,Unnamed: 0.1.1,Name,Score
0,0,Aa! Megami-sama! (TV),5
2,2,Accel World,5
3,3,Amagi Brilliant Park,9
4,4,Angel Beats!,8
5,5,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,1
6,6,Another,6
7,7,Ao no Exorcist,7
10,10,Baka to Test to Shoukanjuu,7
11,11,Baka to Test to Shoukanjuu Ni!,7
12,12,Bakemonogatari,8
13,13,Bakuman.,9
14,14,Bakuman. 2nd Season,9
15,15,Bakuman. 3rd Season,9
17,17,Black Bullet,6
19,19,Boku dake ga Inai Machi,10
20,20,Boku no Hero Academia,8
21,21,Boku wa Tomodachi ga Sukunai,8
22,22,Boku wa Tomodachi ga Sukunai Next,8
23,23,Btooom!,6
24,24,Byousoku 5 Centimeter,7
25,25,Charlotte,7
26,26,Chuunibyou demo Koi ga Shitai!,7
27,27,Chuunibyou demo Koi ga Shitai! Ren,6
28,28,Code Geass: Hangyaku no Lelouch,6
29,29,Code Geass: Hangyaku no Lelouch R2,6
30,30,D-Frag!,7
33,33,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7
34,34,Danshi Koukousei no Nichijou,8
35,35,Date A Live,6
36,36,Date A Live II,6
37,37,Date A Live Movie: Mayuri Judgment,6
38,38,Deadman Wonderland,6
39,39,Death Note,9
40,40,Death Parade,8
42,42,Durarara!!,7
43,43,Elfen Lied,6
44,44,Fairy Tail,6
48,48,Gamers!,7
49,49,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",8
50,50,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",8
52,52,God Eater,5
53,53,Golden Time,6
54,54,Gosick,9
55,55,Grisaia no Kajitsu,7
57,57,Grisaia no Rakuen,7
58,58,Guilty Crown,8
59,59,Gyakkyou Burai Kaiji: Ultimate Survivor,3
60,60,Hai to Gensou no Grimgar,7
61,61,Haikyuu!!,6
63,63,Haiyore! Nyaruko-san W,6
64,64,Hataraku Maou-sama!,8
65,65,Hentai Ouji to Warawanai Neko.,7
67,67,High School DxD,6
68,68,High School DxD BorN,6
69,69,High School DxD New,6
70,70,Highschool of the Dead,6
71,71,Himouto! Umaru-chan,6
72,72,Hitsugi no Chaika,6
75,75,Hyouka,9
77,77,"Ima, Soko ni Iru Boku",5
81,81,K,7
82,82,K-On!,7
83,83,Kami nomi zo Shiru Sekai,8
84,84,Kami nomi zo Shiru Sekai II,8
85,85,Kami nomi zo Shiru Sekai: Megami-hen,8
86,86,Katanagatari,9
88,88,Kimi no Na wa.,10
89,89,Kiseijuu: Sei no Kakuritsu,9
91,91,Koe no Katachi,10
93,93,Kono Subarashii Sekai ni Shukufuku wo!,10
94,94,Kono Subarashii Sekai ni Shukufuku wo! 2,10
95,95,Kore wa Zombie Desu ka?,7
96,96,Kore wa Zombie Desu ka? of the Dead,7
97,97,Kuroko no Basket,5
98,98,Kuroko no Basket 2nd Season,5
99,99,Kuroko no Basket 3rd Season,5
100,100,Kyoukai no Kanata,7
101,101,Little Witch Academia (TV),9
102,102,Log Horizon,8
103,103,Log Horizon 2nd Season,6
105,105,Mahouka Koukou no Rettousei,5
107,107,Mayo Chiki!,8
108,108,Mirai Nikki (TV),8
109,109,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8
112,112,Nagi no Asukara,9
114,114,New Game!,7
115,115,Nisekoi,7
116,116,Nisekoi:,7
117,117,No Game No Life,10
119,119,Noragami,9
120,120,Noragami Aragoto,9
124,124,One Punch Man,10
126,126,Ookami to Koushinryou,8
127,127,Ookami to Koushinryou II,8
130,130,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7
133,133,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7
134,134,Owari no Seraph,7
135,135,Plastic Memories,7
136,136,Psycho-Pass,7
140,140,Rakudai Kishi no Cavalry,7
141,141,Re:Zero kara Hajimeru Isekai Seikatsu,10
142,142,ReLIFE,9
145,145,Rokka no Yuusha,8
149,149,Saenai Heroine no Sodatekata,8
151,151,Sakurasou no Pet na Kanojo,9
152,152,Sankarea,6
156,156,Seitokai Yakuindomo,6
158,158,Sekirei: Pure Engagement,5
159,159,Seto no Hanayome,8
160,160,Shakugan no Shana,6
161,161,Shigatsu wa Kimi no Uso,10
162,162,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,8
163,163,Shingeki no Kyojin,10
164,164,Shingeki no Kyojin Season 2,10
167,167,Shokugeki no Souma,9
168,168,Shokugeki no Souma: Ni no Sara,9
170,170,Sora no Otoshimono,7
172,172,Sora no Otoshimono: Forte,7
173,173,Sora no Otoshimono: Tokeijikake no Angeloid,7
174,174,Steins;Gate,10
176,176,Sword Art Online,7
178,178,Tari Tari,5
181,181,Tokyo Ghoul,6
183,183,Tonari no Seki-kun,8
184,184,Toradora!,9
185,185,Trinity Seven,6
186,186,Usagi Drop,8
187,187,Working!!,6
188,188,Working'!!,6
189,189,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,9
190,190,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,9
191,191,Yamada-kun to 7-nin no Majo (TV),7
192,192,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),10
194,194,Zero no Tsukaima,5
195,195,Zero no Tsukaima: Futatsuki no Kishi,5
