,Unnamed: 0.1.1,Name,Score
0,0.0,Amagi Brilliant Park,6
1,1.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
2,2.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8
3,3.0,Ansatsu Kyoushitsu (TV),9
4,4.0,Ansatsu Kyoushitsu (TV) 2nd Season,9
5,5.0,Ao no Exorcist,8
7,7.0,Baka to Test to Shoukanjuu,7
8,8.0,Baka to Test to Shoukanjuu Ni!,7
10,10.0,Barakamon,8
11,11.0,Binbougami ga!,9
12,12.0,Boku dake ga Inai Machi,8
13,13.0,Bokura wa Minna Kawaisou,7
15,15.0,Charlotte,8
16,16.0,Chuunibyou demo Koi ga Shitai!,8
17,17.0,Chuunibyou demo Koi ga Shitai! Ren,7
18,18.0,D-Frag!,7
19,19.0,Danshi Koukousei no Nichijou,8
21,21.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
23,23.0,Fullmetal Alchemist,9
24,24.0,Fullmetal Alchemist: Brotherhood,10
25,25.0,Fullmetal Alchemist: The Conqueror of Shamballa,8
26,26.0,Gekkan Shoujo Nozaki-kun,8
27,27.0,GJ-bu,5
28,28.0,Golden Time,8
29,29.0,Grisaia no Kajitsu,7
30,30.0,Grisaia no Rakuen,7
31,31.0,Handa-kun,8
32,32.0,Hataraku Maou-sama!,7
33,33.0,Hentai Ouji to Warawanai Neko.,8
34,34.0,High School DxD,6
35,35.0,Highschool of the Dead,7
37,37.0,Kobayashi-san Chi no Maid Dragon,7
38,38.0,Kokoro Connect,8
40,40.0,Kono Bijutsubu ni wa Mondai ga Aru!,8
41,41.0,Kono Subarashii Sekai ni Shukufuku wo!,8
42,42.0,Kono Subarashii Sekai ni Shukufuku wo! 2,8
43,43.0,Kore wa Zombie Desu ka?,7
44,44.0,Kore wa Zombie Desu ka? of the Dead,7
47,47.0,Mob Psycho 100,9
48,48.0,Naruto,7
49,49.0,Naruto: Shippuuden,7
51,51.0,New Game!,7
52,52.0,Nichijou,9
53,53.0,Nisekoi,7
54,54.0,Nisekoi:,7
55,55.0,No Game No Life,7
56,56.0,Noragami,8
57,57.0,Noragami Aragoto,8
59,59.0,One Punch Man,8
61,61.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",6
62,62.0,Pokemon,5
65,65.0,Re:Zero kara Hajimeru Isekai Seikatsu,8
66,66.0,ReLIFE,7
67,67.0,Sakamoto desu ga?,7
68,68.0,Sakurasou no Pet na Kanojo,10
69,69.0,Seitokai no Ichizon,6
71,71.0,Seitokai Yakuindomo,8
72,72.0,Seitokai Yakuindomo*,8
73,73.0,Seto no Hanayome,8
74,74.0,Shigatsu wa Kimi no Uso,10
75,75.0,Shingeki no Kyojin,9
78,78.0,Shokugeki no Souma,8
79,79.0,Shokugeki no Souma: Ni no Sara,8
80,80.0,Sword Art Online,5
82,82.0,Tanaka-kun wa Itsumo Kedaruge,7
83,83.0,Toradora!,7
84,84.0,Usagi Drop,8
85,85.0,Working!!,7
86,86.0,Working!!!,7
87,87.0,Working'!!,7
88,88.0,WWW.Working!!,8
89,89.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
90,90.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8
92,92.0,Yamada-kun to 7-nin no Majo (TV),6
