,Unnamed: 0.1.1,Name,Score
0,0,Akame ga Kill!,7
1,1,Ao no Exorcist,9
2,2,Black Lagoon,8
4,4,Black Lagoon: The Second Barrage,8
5,5,Bleach,10
6,6,Blood Lad,7
7,7,Boku no Hero Academia,6
8,8,Boku no Hero Academia 2nd Season,6
9,9,Code Geass: Hangyaku no Lelouch,7
10,10,Code Geass: Hangyaku no Lelouch R2,8
11,11,Cowboy Bebop,7
12,12,Durarara!!,7
13,13,Elfen Lied,7
14,14,Fairy Tail,10
15,15,Fairy Tail (2014),10
16,16,Fate/stay night,7
17,17,Fate/stay night: Unlimited Blade Works,6
18,18,Fullmetal Alchemist: Brotherhood,8
21,21,Hotaru no Haka,7
22,22,Howl no Ugoku Shiro,10
25,25,Magi: Sinbad no Bouken (TV),8
26,26,Magi: The Kingdom of Magic,8
27,27,Magi: The Labyrinth of Magic,8
28,28,Mnemosyne: Mnemosyne no Musume-tachi,9
29,29,Mononoke Hime,8
30,30,Monster,8
31,31,Nanatsu no Taizai,8
32,32,Nanatsu no Taizai: Seisen no Shirushi,7
33,33,Neko no Ongaeshi,7
34,34,Rurouni Kenshin: Meiji Kenkaku Romantan,7
35,35,Samurai Champloo,8
36,36,Sen to Chihiro no Kamikakushi,8
37,37,Sidonia no Kishi,7
38,38,Tales of Zestiria the X,9
39,39,Tales of Zestiria the X 2nd Season,9
40,40,Tenkuu no Shiro Laputa,10
41,41,Tokyo Ghoul,7
44,44,Vampire Knight Guilty,5
