,Unnamed: 0.1.1,Name,Score
2,2,"""Bungaku Shoujo"" Movie",6
25,25,Aa! Megami-sama! (TV),5
27,27,Aa! Megami-sama!: Sorezore no Tsubasa,5
33,33,ACCA: 13-ku Kansatsu-ka,6
41,41,Aho Girl,5
53,53,Aikatsu!,7
54,54,Aikatsu! Movie,8
56,56,Air Gear,4
62,62,Akagami no Shirayuki-hime,5
63,63,Akagami no Shirayuki-hime 2nd Season,5
64,64,Akage no Anne,10
68,68,AKB0048,6
75,75,Akira,6
81,81,Amagami SS,5
83,83,Amagami SS+ Plus,6
86,86,Amagi Brilliant Park,6
107,107,Angel Beats!,5
125,125,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,5
127,127,Ano Natsu de Matteru,6
128,128,Another,5
130,130,Ansatsu Kyoushitsu (TV),6
131,131,Ansatsu Kyoushitsu (TV) 2nd Season,6
135,135,Aoi Bungaku Series,8
141,141,Arakawa Under the Bridge,8
142,142,Arakawa Under the Bridge x Bridge,7
144,144,Arashi no Yoru ni,6
150,150,Aria The Animation,9
152,152,Aria The Natural,9
154,154,Aria The Origination,10
164,164,Ashita no Joe,10
165,165,Ashita no Joe 2,10
167,167,Ashita no Nadja,8
179,179,Azumanga Daioh,8
186,186,Baccano!,8
190,190,Baka to Test to Shoukanjuu,6
191,191,Baka to Test to Shoukanjuu Ni!,5
195,195,Bakemono no Ko,6
196,196,Bakemonogatari,9
198,198,Bakuman.,6
203,203,Bamboo Blade,5
208,208,Barakamon,7
209,209,Bartender,8
216,216,Beck,8
218,218,Ben-To,6
229,229,Binbougami ga!,6
235,235,Bishoujo Senshi Sailor Moon,6
236,236,Bishoujo Senshi Sailor Moon R,6
237,237,Bishoujo Senshi Sailor Moon S,6
238,238,Bishoujo Senshi Sailor Moon SuperS,6
240,240,Black Bullet,2
241,241,Black Cat,4
244,244,Black Lagoon,6
245,245,Black Lagoon: The Second Barrage,6
248,248,Blame! Movie,7
249,249,Bleach,4
250,250,Bleach Movie 1: Memories of Nobody,4
251,251,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,4
252,252,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,3
253,253,Bleach Movie 4: Jigoku-hen,4
256,256,Blood Lad,5
271,271,Boku wa Tomodachi ga Sukunai,5
273,273,Boku wa Tomodachi ga Sukunai Next,4
276,276,Bokura ga Ita,6
278,278,Bokurano,8
289,289,Break Blade 1: Kakusei no Toki,6
290,290,Break Blade 2: Ketsubetsu no Michi,6
291,291,Break Blade 3: Kyoujin no Ato,6
292,292,Break Blade 4: Sanka no Chi,6
293,293,Break Blade 5: Shisen no Hate,6
294,294,Break Blade 6: Doukoku no Toride,6
296,296,Brigadoon: Marin to Melan,8
301,301,Busou Renkin,5
305,305,Byousoku 5 Centimeter,8
322,322,Captain Tsubasa: Road to 2002,6
323,323,Cardcaptor Sakura,8
324,324,Cardcaptor Sakura Movie 1,7
325,325,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8
326,326,Cardcaptor Sakura: Leave it to Kero-chan,6
327,327,Casshern Sins,9
337,337,Chi's Sweet Home,6
340,340,Chihayafuru,8
341,341,Chihayafuru 2,8
354,354,Chobits,6
361,361,Chou Denji Machine Voltes V,8
369,369,Chrome Shelled Regios,5
374,374,Chuunibyou demo Koi ga Shitai!,6
376,376,Chuunibyou demo Koi ga Shitai! Ren,4
381,381,City Hunter,8
382,382,City Hunter '91,7
383,383,City Hunter 2,9
384,384,City Hunter 3,7
385,385,City Hunter: Ai to Shukumei no Magnum,7
386,386,City Hunter: Bay City Wars,6
393,393,Clannad,6
396,396,Claymore,6
403,403,Code Geass: Hangyaku no Lelouch,7
405,405,Code Geass: Hangyaku no Lelouch R2,5
407,407,Colorful (Movie),7
412,412,Coquelicot-zaka kara,7
419,419,Cowboy Bebop,8
420,420,Cowboy Bebop: Tengoku no Tobira,7
425,425,Cross Ange: Tenshi to Ryuu no Rondo,1
426,426,Cross Game,9
433,433,D.Gray-man,5
443,443,Danna ga Nani wo Itteiru ka Wakaranai Ken,6
444,444,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,5
445,445,Danshi Koukousei no Nichijou,6
448,448,Dareka no Manazashi,6
453,453,Darker than Black: Kuro no Keiyakusha,7
456,456,Darker than Black: Ryuusei no Gemini,5
461,461,Deadman Wonderland,4
463,463,Death Billiards,4
464,464,Death Note,8
469,469,Demi-chan wa Kataritai,6
476,476,Dennou Coil,9
481,481,Densetsu Kyojin Ideon: Hatsudou-hen,8
483,483,Densetsu no Yuusha no Densetsu,4
491,491,Digimon Adventure,6
493,493,Digimon Adventure Movie,5
495,495,Digimon Tamers,6
525,525,Doukyuusei (Movie),5
528,528,Dragon Ball,7
534,534,Dragon Ball Z,6
542,542,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",4
546,546,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,4
547,547,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,4
548,548,Dragon Ball Z Movie 14: Kami to Kami,4
549,549,Dragon Ball Z Movie 15: Fukkatsu no F,4
560,560,Drifters,5
566,566,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,4
567,567,Durarara!!,6
571,571,ef: A Tale of Melodies.,6
572,572,ef: A Tale of Memories.,7
579,579,Elfen Lied,5
589,589,Ergo Proxy,6
599,599,Fantastic Children,6
