,Unnamed: 0.1.1,Name,Score
0,0.0,Aldnoah.Zero,7
2,2.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
3,3.0,Bakemonogatari,8
4,4.0,Blame! Movie,8
5,5.0,Boku dake ga Inai Machi,7
6,6.0,Byousoku 5 Centimeter,8
8,8.0,Danna ga Nani wo Itteiru ka Wakaranai Ken,8
9,9.0,Evangelion: 1.0 You Are (Not) Alone,8
10,10.0,Evangelion: 2.0 You Can (Not) Advance,9
11,11.0,Evangelion: 3.0 You Can (Not) Redo,8
12,12.0,Fate/stay night: Unlimited Blade Works,7
14,14.0,Fate/stay night: Unlimited Blade Works 2nd Season,7
16,16.0,Fate/Zero,9
17,17.0,Fate/Zero 2nd Season,9
18,18.0,Ga-Rei: Zero,7
20,20.0,Hanamonogatari,9
22,22.0,Kara no Kyoukai 1: Fukan Fuukei,8
23,23.0,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8
24,24.0,Kara no Kyoukai 3: Tsuukaku Zanryuu,8
25,25.0,Kara no Kyoukai 4: Garan no Dou,9
26,26.0,Kara no Kyoukai 5: Mujun Rasen,9
27,27.0,Kara no Kyoukai 6: Boukyaku Rokuon,7
28,28.0,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),9
29,29.0,Kara no Kyoukai: Mirai Fukuin,9
33,33.0,Kiseijuu: Sei no Kakuritsu,8
34,34.0,Kizumonogatari I: Tekketsu-hen,8
36,36.0,Made in Abyss,9
37,37.0,Magi: The Kingdom of Magic,9
38,38.0,Magi: The Labyrinth of Magic,8
39,39.0,Mahou Shoujo Madoka Magica,10
43,43.0,Mirai Nikki (TV),8
44,44.0,Monogatari Series: Second Season,8
45,45.0,Nagi no Asukara,8
46,46.0,Nanatsu no Taizai,9
48,48.0,Nekomonogatari: Kuro,8
49,49.0,Neon Genesis Evangelion,7
50,50.0,Neon Genesis Evangelion: The End of Evangelion,9
51,51.0,Nisekoi,8
52,52.0,Nisemonogatari,8
53,53.0,No Game No Life,9
54,54.0,One Punch Man,7
55,55.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
58,58.0,Owari no Seraph,7
59,59.0,Prison School,7
60,60.0,Psycho-Pass,9
61,61.0,Psycho-Pass 2,8
62,62.0,Psycho-Pass Movie,7
64,64.0,Saenai Heroine no Sodatekata,7
67,67.0,Sen to Chihiro no Kamikakushi,7
68,68.0,Shigatsu wa Kimi no Uso,8
69,69.0,Sidonia no Kishi,9
70,70.0,Sidonia no Kishi: Daikyuu Wakusei Seneki,8
72,72.0,Steins;Gate,8
75,75.0,Suzumiya Haruhi no Shoushitsu,8
77,77.0,Tokyo Ghoul,8
78,78.0,Tsukimonogatari,8
80,80.0,Yamada-kun to 7-nin no Majo (TV),7
83,83.0,Yuuki Yuuna wa Yuusha de Aru,8
84,84.0,Zankyou no Terror,9
