,Unnamed: 0.1.1,Name,Score
0,0,3-gatsu no Lion,10
1,1,Accel World,8
2,2,Akagami no Shirayuki-hime,9
3,3,Akagami no Shirayuki-hime 2nd Season,9
4,4,Akame ga Kill!,8
5,5,Aldnoah.Zero,8
7,7,Angel Beats!,9
8,8,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
9,9,Ano Natsu de Matteru,9
10,10,Another,9
11,11,Ao Haru Ride,8
12,12,Ao no Exorcist,8
13,13,Ao no Exorcist Movie,7
14,14,Ao no Exorcist: Kyoto Fujouou-hen,8
16,16,Arslan Senki (TV),9
17,17,Arslan Senki (TV): Fuujin Ranbu,8
19,19,Bakemono no Ko,8
20,20,Barakamon,9
21,21,Black Bullet,8
22,22,Black Cat,8
24,24,Black Lagoon,8
26,26,Black Lagoon: The Second Barrage,8
28,28,Bleach,8
29,29,Blood Lad,8
30,30,Boku dake ga Inai Machi,8
31,31,Boku no Hero Academia,9
32,32,Bokura ga Ita,9
33,33,Break Blade 1: Kakusei no Toki,7
34,34,Break Blade 2: Ketsubetsu no Michi,7
35,35,Break Blade 3: Kyoujin no Ato,7
36,36,Break Blade 4: Sanka no Chi,7
37,37,Break Blade 5: Shisen no Hate,7
38,38,Break Blade 6: Doukoku no Toride,7
39,39,Bungou Stray Dogs,7
40,40,Busou Renkin,8
41,41,Byousoku 5 Centimeter,7
44,44,Charlotte,8
45,45,Chuunibyou demo Koi ga Shitai!,10
46,46,Chuunibyou demo Koi ga Shitai! Ren,7
47,47,Clannad,9
48,48,Clannad: After Story,10
49,49,Code Geass: Hangyaku no Lelouch,10
50,50,Code Geass: Hangyaku no Lelouch R2,10
53,53,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,9
54,54,Darker than Black: Kuro no Keiyakusha,7
56,56,Darker than Black: Ryuusei no Gemini,7
57,57,Date A Live,8
58,58,Date A Live II,7
59,59,Death Note,9
60,60,Death Parade,9
63,63,Drifters,8
64,64,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
65,65,Durarara!!,7
66,66,Durarara!!x2 Shou,7
67,67,Elfen Lied,9
68,68,Erementar Gerad,8
69,69,Eureka Seven,9
70,70,Fairy Tail,9
71,71,Fairy Tail (2014),9
72,72,Fairy Tail Movie 1: Houou no Miko,8
79,79,Fate/stay night,7
80,80,Fate/stay night Movie: Unlimited Blade Works,7
81,81,Fate/stay night: Unlimited Blade Works,9
83,83,Fate/stay night: Unlimited Blade Works 2nd Season,9
85,85,Fate/Zero,10
86,86,Fate/Zero 2nd Season,10
89,89,Fullmetal Alchemist,9
90,90,Fullmetal Alchemist: Brotherhood,10
91,91,Gakkougurashi!,8
92,92,Gangsta.,7
93,93,Garo Movie: Divine Flame,7
94,94,Garo: Honoo no Kokuin,8
95,95,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7
96,96,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",8
98,98,Ghost in the Shell,6
99,99,God Eater,7
100,100,Gosick,9
102,102,Guilty Crown,8
104,104,Hai to Gensou no Grimgar,7
105,105,Hataraku Maou-sama!,8
107,107,Hentai Ouji to Warawanai Neko.,8
108,108,Hibike! Euphonium,9
109,109,Hibike! Euphonium 2,8
110,110,Higashi no Eden,8
111,111,Higashi no Eden Movie I: The King of Eden,7
112,112,Higashi no Eden Movie II: Paradise Lost,7
113,113,High School DxD,8
114,114,High School DxD BorN,6
115,115,High School DxD New,8
116,116,Highschool of the Dead,7
118,118,Hitsugi no Chaika,8
120,120,Hoshi wo Ou Kodomo,6
121,121,Hotarubi no Mori e,8
122,122,Howl no Ugoku Shiro,7
123,123,Hunter x Hunter (2011),10
126,126,Inu x Boku SS,8
132,132,K,9
133,133,K: Missing Kings,7
134,134,K: Return of Kings,6
135,135,Kakegurui,7
136,136,Kamisama no Inai Nichiyoubi,8
137,137,Kara no Kyoukai 1: Fukan Fuukei,8
138,138,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8
