,Unnamed: 0.1.1,Name,Score
0,0,Akame ga Kill!,9
1,1,Amagi Brilliant Park,9
2,2,Angel Beats!,8
3,3,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
4,4,Ao Haru Ride,8
5,5,Baka to Test to Shoukanjuu,9
6,6,Baka to Test to Shoukanjuu Ni!,9
7,7,Boku no Hero Academia,9
8,8,Boku wa Tomodachi ga Sukunai,7
9,9,Charlotte,9
11,11,Date A Live,8
12,12,Date A Live II,7
13,13,Death Parade,9
15,15,Fairy Tail,8
16,16,Fairy Tail (2014),9
18,18,Hataraku Maou-sama!,9
19,19,High School DxD,7
20,20,High School DxD BorN,8
21,21,High School DxD New,8
22,22,Highschool of the Dead,7
23,23,Hyouka,8
24,24,Kekkai Sensen,9
25,25,Kimi no Na wa.,10
26,26,Koe no Katachi,10
27,27,Kokoro Connect,10
28,28,Kono Subarashii Sekai ni Shukufuku wo!,8
29,29,Kono Subarashii Sekai ni Shukufuku wo! 2,8
30,30,Kore wa Zombie Desu ka?,7
31,31,Kuroko no Basket,8
32,32,Kuroko no Basket 2nd Season,8
33,33,Kuroko no Basket 3rd Season,9
34,34,Kuzu no Honkai,9
35,35,Log Horizon,8
36,36,Log Horizon 2nd Season,8
37,37,Magi: Sinbad no Bouken (TV),7
38,38,Magi: The Labyrinth of Magic,8
40,40,Nisekoi,9
41,41,Nisekoi:,7
42,42,Non Non Biyori,8
43,43,Non Non Biyori Repeat,8
44,44,Noragami,9
45,45,Noragami Aragoto,10
46,46,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",8
47,47,Overlord,9
48,48,Plastic Memories,9
49,49,Prison School,8
50,50,Rakudai Kishi no Cavalry,8
51,51,Re:Zero kara Hajimeru Isekai Seikatsu,9
52,52,ReLIFE,9
53,53,Sakurasou no Pet na Kanojo,9
54,54,Shingeki no Kyojin,9
55,55,Shingeki no Kyojin Season 2,9
56,56,Shokugeki no Souma,9
57,57,Shokugeki no Souma: Ni no Sara,9
58,58,Sword Art Online,7
60,60,Toradora!,8
61,61,Trinity Seven,6
62,62,Yamada-kun to 7-nin no Majo (TV),8
