,Unnamed: 0.1.1,Name,Score
0,0,Ajin,8
1,1,Amagi Brilliant Park,7
2,2,Angel Beats!,7
3,3,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
4,4,Ao no Exorcist,9
5,5,Ao no Exorcist Movie,8
7,7,Ao no Exorcist: Kyoto Fujouou-hen,8
8,8,Bakuman.,8
9,9,Boku no Hero Academia,8
10,10,Boku wa Tomodachi ga Sukunai,6
11,11,C: The Money of Soul and Possibility Control,10
12,12,Chuunibyou demo Koi ga Shitai!,6
13,13,Code Geass: Hangyaku no Lelouch,8
14,14,Code Geass: Hangyaku no Lelouch R2,8
16,16,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7
17,17,Date A Live,7
18,18,Deadman Wonderland,8
20,20,Death Note,7
22,22,Dragon Ball,7
23,23,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
24,24,Fullmetal Alchemist,9
25,25,GJ-bu,7
26,26,Hai to Gensou no Grimgar,7
27,27,Hentai Ouji to Warawanai Neko.,7
29,29,High School DxD,6
30,30,Highschool of the Dead,9
32,32,Ike! Ina-chuu Takkyuubu,10
34,34,Kimi ni Todoke,10
35,35,Kimi ni Todoke 2nd Season,9
36,36,Kimi no Na wa.,10
38,38,Kobayashi-san Chi no Maid Dragon,9
39,39,Koe no Katachi,9
40,40,Kokoro Connect,8
41,41,Kore wa Zombie Desu ka?,8
42,42,Lovely Complex,8
44,44,Mayo Chiki!,7
45,45,Mirai Nikki (TV),8
47,47,Motto To LOVE-Ru,6
48,48,Nanatsu no Taizai,8
49,49,Natsume Yuujinchou,9
50,50,Noragami,8
51,51,Noragami Aragoto,8
52,52,One Piece Film: Strong World,8
54,54,One Piece Film: Z,8
56,56,Outbreak Company,7
57,57,Overlord,8
59,59,Re:Zero kara Hajimeru Isekai Seikatsu,7
62,62,Sankarea,8
63,63,Seitokai Yakuindomo,8
64,64,Shigatsu wa Kimi no Uso,7
65,65,Sword Art Online,7
66,66,Tengen Toppa Gurren Lagann,8
68,68,To LOVE-Ru Darkness,6
69,69,Tokyo Ghoul,7
70,70,Tonari no Kaibutsu-kun,9
71,71,Toradora!,8
72,72,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
73,73,Zero no Tsukaima,7
74,74,Zero no Tsukaima F,7
75,75,Zero no Tsukaima: Futatsuki no Kishi,7
76,76,Zero no Tsukaima: Princesses no Rondo,7
