,Unnamed: 0.1.1,Name,Score
1,1,Accel World,8
3,3,Air,7
6,6,Akagami no Shirayuki-hime,8
7,7,Akagami no Shirayuki-hime 2nd Season,8
8,8,Akatsuki no Yona,8
9,9,Akira,8
10,10,Angel Beats!,7
12,12,Ano Natsu de Matteru,7
13,13,Ao no Exorcist,8
14,14,Aoki Densetsu Shoot!,7
17,17,Beck,8
18,18,Black Cat,8
20,20,Bleach,8
21,21,Boku dake ga Inai Machi,8
22,22,Boku no Hero Academia,8
25,25,Byousoku 5 Centimeter,7
26,26,C: The Money of Soul and Possibility Control,8
29,29,Casshern Sins,8
30,30,Charlotte,8
31,31,Chobits,7
34,34,Clannad,8
35,35,Clannad: After Story,8
36,36,Code Geass: Hangyaku no Lelouch,8
37,37,Coquelicot-zaka kara,8
41,41,Date A Live,7
42,42,Date A Live II,7
43,43,Death Note,8
45,45,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
48,48,Erementar Gerad,8
49,49,Ergo Proxy,8
50,50,Eureka Seven,7
51,51,FLCL,8
54,54,Fullmetal Alchemist: Brotherhood,8
58,58,Golden Time,8
60,60,Grisaia no Kajitsu,7
61,61,Groove Adventure Rave,7
65,65,Hakushaku to Yousei,8
66,66,Hanbun no Tsuki ga Noboru Sora,8
67,67,Hataraku Maou-sama!,8
68,68,Hatsukoi Limited.,8
69,69,High School DxD,8
70,70,High School DxD BorN,8
71,71,High School DxD New,8
74,74,Howl no Ugoku Shiro,8
79,79,InuYasha: Kanketsu-hen,8
85,85,Kaichou wa Maid-sama!,8
86,86,Kami nomi zo Shiru Sekai,8
87,87,Kami nomi zo Shiru Sekai II,8
88,88,Kami nomi zo Shiru Sekai: Megami-hen,8
90,90,Kamisama no Inai Nichiyoubi,8
92,92,Katanagatari,8
93,93,Katekyo Hitman Reborn!,8
94,94,Kaze no Stigma,7
96,96,Kekkai Sensen,8
98,98,Kidou Senkan Nadesico,7
100,100,Kimi ni Todoke,8
101,101,Kimi ni Todoke 2nd Season,8
102,102,Kimi no Na wa.,8
103,103,Koe no Katachi,8
104,104,Kokoro Connect,7
105,105,Kotonoha no Niwa,8
109,109,Kuzu no Honkai,7
111,111,Lovely Complex,8
112,112,Mahouka Koukou no Rettousei,7
113,113,Maison Ikkoku,8
117,117,Mikakunin de Shinkoukei,7
118,118,Mimi wo Sumaseba,8
119,119,Mob Psycho 100,8
121,121,Mobile Suit Gundam: Iron-Blooded Orphans,8
122,122,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8
123,123,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8
125,125,Mushishi,8
126,126,Naruto,8
127,127,Naruto: Shippuuden,8
128,128,Nejimaki Seirei Senki: Tenkyou no Alderamin,8
129,129,Nisekoi,7
130,130,Noragami,8
131,131,Noragami Aragoto,8
135,135,Ookami Shoujo to Kuro Ouji,7
136,136,Orange,8
137,137,Otome Youkai Zakuro,7
138,138,Ouran Koukou Host Club,8
140,140,Plastic Memories,7
143,143,ReLIFE,8
144,144,Rokka no Yuusha,8
145,145,Romeo x Juliet,8
146,146,Rurouni Kenshin: Meiji Kenkaku Romantan,8
149,149,Sankarea,7
151,151,Shingeki no Kyojin,8
157,157,Special A,7
158,158,Sukitte Ii na yo.,7
160,160,Sword Art Online,8
161,161,Tales of the Abyss,7
162,162,Tales of Zestiria the X,8
165,165,Toki wo Kakeru Shoujo,7
166,166,Trinity Blood,7
167,167,Trinity Seven,6
168,168,Tsuki ga Kirei,8
169,169,Ueki no Housoku,8
171,171,Vampire Knight Guilty,7
174,174,Working!!,8
175,175,Working'!!,8
177,177,Yamada-kun to 7-nin no Majo (TV),7
180,180,Zero no Tsukaima,8
181,181,Zero no Tsukaima: Futatsuki no Kishi,7
182,182,Zero no Tsukaima: Princesses no Rondo,7
