,Unnamed: 0.1.1,Name,Score
0,0,Boku dake ga Inai Machi,9
1,1,Boku no Hero Academia,8
2,2,Demi-chan wa Kataritai,7
4,4,Fate/stay night: Unlimited Blade Works,8
5,5,Fate/stay night: Unlimited Blade Works 2nd Season,9
6,6,Fate/Zero,8
7,7,Fate/Zero 2nd Season,7
8,8,Kimi no Na wa.,9
9,9,Kobayashi-san Chi no Maid Dragon,8
10,10,Koe no Katachi,9
11,11,Kono Sekai no Katasumi ni,8
12,12,Kono Subarashii Sekai ni Shukufuku wo!,7
13,13,Kono Subarashii Sekai ni Shukufuku wo! 2,8
15,15,Pokemon,6
18,18,Pokemon: Maboroshi no Pokemon Lugia Bakutan,9
19,19,Pokemon: Mewtwo no Gyakushuu,8
21,21,Re:Zero kara Hajimeru Isekai Seikatsu,8
23,23,Sen to Chihiro no Kamikakushi,9
24,24,Shigatsu wa Kimi no Uso,10
25,25,Shingeki no Kyojin,9
27,27,Shingeki no Kyojin Season 2,8
30,30,Steins;Gate,9
31,31,Yuri!!! on Ice,7
