,Unnamed: 0.1.1,Name,Score
0,0.0,Akatsuki no Yona,7
1,1.0,Amagi Brilliant Park,8
4,4.0,Angel Beats!,6
6,6.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
7,7.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7
8,8.0,Another,6
9,9.0,Bakemonogatari,8
13,13.0,Boku dake ga Inai Machi,8
14,14.0,Byousoku 5 Centimeter,7
15,15.0,Charlotte,5
16,16.0,Danna ga Nani wo Itteiru ka Wakaranai Ken,8
17,17.0,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,8
19,19.0,Death Parade,9
20,20.0,Fairy Tail Movie 1: Houou no Miko,6
23,23.0,Hibike! Euphonium,8
25,25.0,Hotarubi no Mori e,5
26,26.0,Isshuukan Friends.,4
28,28.0,Kanojo to Kanojo no Neko: Everything Flows,8
29,29.0,Kimi no Na wa.,9
30,30.0,Kiseijuu: Sei no Kakuritsu,7
31,31.0,Kobayashi-san Chi no Maid Dragon,8
32,32.0,Kokoro ga Sakebitagatterunda.,7
33,33.0,Kotonoha no Niwa,7
35,35.0,Lovely Complex,8
36,36.0,Mayo Chiki!,7
37,37.0,Mirai Nikki (TV),7
39,39.0,Nisekoi,7
40,40.0,Nisemonogatari,7
41,41.0,Noragami,8
42,42.0,Noragami Aragoto,8
44,44.0,One Punch Man,8
45,45.0,Ookami Shoujo to Kuro Ouji,4
49,49.0,Saenai Heroine no Sodatekata,4
52,52.0,Shigatsu wa Kimi no Uso,7
53,53.0,Shirobako,7
55,55.0,Toki wo Kakeru Shoujo,8
56,56.0,Tonari no Kaibutsu-kun,7
57,57.0,Toradora!,10
59,59.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
61,61.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8
