,Unnamed: 0.1.1,Name,Score
0,0,Aho Girl,8
1,1,Boku no Hero Academia,8
4,4,Btooom!,5
5,5,Evangelion: 1.0 You Are (Not) Alone,8
6,6,Evangelion: 2.0 You Can (Not) Advance,8
7,7,Evangelion: 3.0 You Can (Not) Redo,6
8,8,Himouto! Umaru-chan,5
9,9,JoJo no Kimyou na Bouken (TV),7
10,10,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8
11,11,JoJo no Kimyou na Bouken: Stardust Crusaders,7
12,12,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8
13,13,K-On!,6
14,14,K-On! Movie,8
15,15,K-On!!,7
18,18,Kimi no Na wa.,10
19,19,Koe no Katachi,10
20,20,Kono Subarashii Sekai ni Shukufuku wo!,8
21,21,Kono Subarashii Sekai ni Shukufuku wo! 2,7
22,22,Love Live! School Idol Project,6
23,23,Love Live! School Idol Project 2nd Season,7
24,24,Love Live! The School Idol Movie,7
25,25,Mob Psycho 100,9
26,26,Neon Genesis Evangelion,8
27,27,Neon Genesis Evangelion: The End of Evangelion,8
29,29,New Game!,8
30,30,New Game!!,6
31,31,Noragami,6
32,32,One Punch Man,8
33,33,Ookami Kodomo no Ame to Yuki,8
34,34,Princess Principal,8
35,35,Re:Creators,6
36,36,Re:Zero kara Hajimeru Isekai Seikatsu,8
37,37,Redline,10
38,38,Shingeki no Kyojin,7
39,39,Shingeki no Kyojin Season 2,8
40,40,Space Dandy,8
42,42,Steins;Gate,8
43,43,Summer Wars,7
44,44,Suzumiya Haruhi no Shoushitsu,9
45,45,Suzumiya Haruhi no Yuuutsu,7
47,47,Sword Art Online,6
49,49,Tengen Toppa Gurren Lagann,10
50,50,xxxHOLiC,6
51,51,xxxHOLiC Kei,6
52,52,Yuru Yuri,7
