,Unnamed: 0.1.1,Name,Score
0,0,ACCA: 13-ku Kansatsu-ka,8
1,1,Angel Beats!,7
4,4,Baccano!,9
5,5,Bakemonogatari,8
6,6,Black Lagoon,8
7,7,Boku no Hero Academia,9
8,8,Clannad,8
9,9,Clannad: After Story,9
10,10,Code Geass: Hangyaku no Lelouch,8
11,11,Code Geass: Hangyaku no Lelouch R2,8
12,12,Cowboy Bebop,8
13,13,Danna ga Nani wo Itteiru ka Wakaranai Ken,7
14,14,Deadman Wonderland,5
15,15,Death Note,9
16,16,Demi-chan wa Kataritai,8
17,17,Durarara!!,9
18,18,Durarara!!x2 Ketsu,8
19,19,Durarara!!x2 Shou,8
20,20,Durarara!!x2 Ten,8
21,21,Fate/stay night,7
22,22,Fate/stay night: Unlimited Blade Works,9
24,24,Full Metal Panic!,8
25,25,Full Metal Panic! The Second Raid,8
26,26,Full Metal Panic? Fumoffu,9
27,27,Fullmetal Alchemist,8
28,28,Fullmetal Alchemist: Brotherhood,9
29,29,Gabriel DropOut,8
31,31,Ghost in the Shell,9
32,32,Hataraku Maou-sama!,8
33,33,Higashi no Eden,8
34,34,Higashi no Eden Movie I: The King of Eden,7
35,35,Higashi no Eden Movie II: Paradise Lost,7
36,36,Higashi no Eden: Air Communication,6
37,37,Initial D Fifth Stage,8
38,38,Initial D Final Stage,9
39,39,Initial D First Stage,8
40,40,Initial D Fourth Stage,9
41,41,Initial D Second Stage,8
42,42,Initial D Third Stage,8
43,43,Joshiraku,8
44,44,K-On!,7
45,45,Kill la Kill,7
46,46,Kobayashi-san Chi no Maid Dragon,9
47,47,Kono Subarashii Sekai ni Shukufuku wo!,9
48,48,Kono Subarashii Sekai ni Shukufuku wo! 2,9
51,51,Log Horizon,8
52,52,Log Horizon 2nd Season,7
53,53,Mirai Nikki (TV),7
58,58,New Game!,8
60,60,NHK ni Youkoso!,9
61,61,No Game No Life,9
63,63,One Punch Man,9
64,64,Ookami to Koushinryou,8
65,65,Ookami to Koushinryou II,8
66,66,Planetes,9
67,67,Psycho-Pass,9
68,68,Psycho-Pass 2,7
69,69,Psycho-Pass Movie,8
70,70,Re:Zero kara Hajimeru Isekai Seikatsu,8
71,71,Robotics;Notes,7
73,73,Shingeki no Kyojin,9
75,75,Shingeki no Kyojin Season 2,9
78,78,Shinsekai yori,6
79,79,So Ra No Wo To,9
80,80,Steins;Gate,9
83,83,Suzumiya Haruhi no Shoushitsu,9
84,84,Suzumiya Haruhi no Yuuutsu,9
86,86,Tengen Toppa Gurren Lagann,9
87,87,Toradora!,8
88,88,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
90,90,Youjo Senki,8
