,Unnamed: 0.1.1,Name,Score
0,0,Accel World,4
1,1,Akagami no Shirayuki-hime,7
2,2,Akame ga Kill!,7
3,3,Akatsuki no Yona,6
4,4,Angel Beats!,4
5,5,Ao no Exorcist,6
6,6,Bakemonogatari,8
7,7,Boku no Hero Academia,8
8,8,Btooom!,7
9,9,Byousoku 5 Centimeter,5
10,10,Charlotte,8
11,11,Chuunibyou demo Koi ga Shitai!,7
12,12,Deadman Wonderland,6
13,13,Death Note,6
15,15,Dragon Ball Z,6
16,16,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",5
18,18,Dragon Ball Z Movie 14: Kami to Kami,7
19,19,Dragon Ball Z Movie 15: Fukkatsu no F,5
21,21,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,5
22,22,Elfen Lied,6
23,23,Eureka Seven,7
24,24,Evangelion: 1.0 You Are (Not) Alone,7
25,25,Evangelion: 2.0 You Can (Not) Advance,5
27,27,Fate/stay night,4
28,28,Fate/stay night: Unlimited Blade Works,8
29,29,Fate/stay night: Unlimited Blade Works 2nd Season,8
30,30,Fate/Zero,10
31,31,Fate/Zero 2nd Season,10
32,32,Full Metal Panic!,5
33,33,Fullmetal Alchemist,5
34,34,Fullmetal Alchemist: Brotherhood,10
36,36,Golden Time,8
37,37,Guilty Crown,5
38,38,Hai to Gensou no Grimgar,8
39,39,Highschool of the Dead,5
40,40,K,4
41,41,Kimi no Na wa.,8
42,42,Kobayashi-san Chi no Maid Dragon,9
43,43,Koe no Katachi,10
44,44,Kono Subarashii Sekai ni Shukufuku wo!,6
46,46,Log Horizon,5
47,47,Maoyuu Maou Yuusha,5
49,49,Mob Psycho 100,8
50,50,Mobile Suit Gundam: Iron-Blooded Orphans,8
51,51,Nanatsu no Taizai,7
52,52,Naruto,7
53,53,Naruto: Shippuuden,7
54,54,Nekomonogatari: Kuro,8
55,55,Neon Genesis Evangelion,7
56,56,Neon Genesis Evangelion: The End of Evangelion,5
57,57,Nisekoi,6
58,58,Nisekoi:,7
59,59,Nisemonogatari,8
60,60,No Game No Life,5
61,61,One Punch Man,8
62,62,Ookami Kodomo no Ame to Yuki,7
63,63,Ookami to Koushinryou,8
64,64,Ookami to Koushinryou II,8
66,66,Orange,7
67,67,Overlord,5
70,70,Pokemon: Maboroshi no Pokemon Lugia Bakutan,5
71,71,Pokemon: Mewtwo no Gyakushuu,8
73,73,Rakudai Kishi no Cavalry,5
74,74,Re:Zero kara Hajimeru Isekai Seikatsu,8
75,75,ReLIFE,8
77,77,Sen to Chihiro no Kamikakushi,7
78,78,Shigatsu wa Kimi no Uso,6
79,79,Shingeki no Kyojin,8
80,80,Shingeki no Kyojin Season 2,6
81,81,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,7
82,82,Soredemo Sekai wa Utsukushii,8
84,84,Summer Wars,5
85,85,Sword Art Online,8
87,87,The Last: Naruto the Movie,10
88,88,Tokyo Ghoul,7
90,90,Toradora!,6
91,91,Tsuki ga Kirei,7
92,92,Tsurezure Children,7
93,93,White Album 2,7
94,94,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,6
95,95,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,5
96,96,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),6
97,97,Zero no Tsukaima,3
