,Unnamed: 0.1.1,Name,Score
0,0.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
1,1.0,Boku dake ga Inai Machi,9
2,2.0,Byousoku 5 Centimeter,8
3,3.0,Date A Live,7
4,4.0,Date A Live II,7
5,5.0,Date A Live Movie: Mayuri Judgment,7
8,8.0,Death Note,6
9,9.0,Dragon Ball Kai,6
10,10.0,Dragon Ball Kai (2014),6
11,11.0,Dragon Ball Z,7
12,12.0,Dragon Ball Z Movie 14: Kami to Kami,7
13,13.0,Dragon Ball Z Movie 15: Fukkatsu no F,7
14,14.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,9
16,16.0,Gakkougurashi!,5
17,17.0,Gamers!,5
19,19.0,Kakegurui,7
20,20.0,Kara no Kyoukai 1: Fukan Fuukei,7
22,22.0,Kimi no Na wa.,10
23,23.0,Knight's & Magic,7
24,24.0,Koe no Katachi,10
25,25.0,Kokoro Connect,9
27,27.0,Kokoro ga Sakebitagatterunda.,7
28,28.0,Kono Subarashii Sekai ni Shukufuku wo!,7
29,29.0,Kono Subarashii Sekai ni Shukufuku wo! 2,8
35,35.0,Mirai Nikki (TV),7
37,37.0,New Game!,7
38,38.0,New Game!!,7
39,39.0,No Game No Life,8
40,40.0,Noragami,9
41,41.0,Noragami Aragoto,9
42,42.0,One Punch Man,9
43,43.0,Ookami Kodomo no Ame to Yuki,9
44,44.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7
45,45.0,Princess Principal,8
47,47.0,Re:Zero kara Hajimeru Isekai Seikatsu,8
48,48.0,Seitokai Yakuindomo,8
50,50.0,Seitokai Yakuindomo*,8
52,52.0,Shingeki no Kyojin,9
54,54.0,Shingeki no Kyojin Season 2,9
56,56.0,Summer Wars,9
57,57.0,Sword Art Online,7
59,59.0,Sword Art Online Movie: Ordinal Scale,7
61,61.0,Toki wo Kakeru Shoujo,8
62,62.0,Toradora!,9
63,63.0,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),8
64,64.0,Zankyou no Terror,8
