,Unnamed: 0.1.1,Name,Score
0,0.0,Akira,8
3,3.0,Black Lagoon,10
4,4.0,Black Lagoon: The Second Barrage,10
5,5.0,Bleach,8
6,6.0,Btooom!,7
7,7.0,Deadman Wonderland,8
9,9.0,Death Note,9
11,11.0,Dragon Ball Kai,8
12,12.0,Dragon Ball Kai (2014),8
13,13.0,Dragon Ball Z Movie 14: Kami to Kami,6
14,14.0,Drifters,10
16,16.0,Fairy Tail,9
17,17.0,Fairy Tail (2014),9
18,18.0,Fate/Zero,9
19,19.0,Gangsta.,9
21,21.0,Gunslinger Girl,7
22,22.0,Howl no Ugoku Shiro,9
23,23.0,Hunter x Hunter,9
24,24.0,Hunter x Hunter (2011),10
25,25.0,K-On!,8
26,26.0,Kotonoha no Niwa,8
28,28.0,Kurenai no Buta,7
29,29.0,Mirai Shounen Conan,8
30,30.0,Mononoke Hime,8
31,31.0,Nanatsu no Taizai,9
32,32.0,Naruto,8
33,33.0,Nurarihyon no Mago,8
35,35.0,One Piece Film: Strong World,9
36,36.0,One Piece Film: Z,10
39,39.0,One Punch Man,9
40,40.0,Ookami Kodomo no Ame to Yuki,9
41,41.0,Ouran Koukou Host Club,7
42,42.0,Paprika,9
44,44.0,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,8
45,45.0,Sen to Chihiro no Kamikakushi,9
46,46.0,Sengoku Basara,9
47,47.0,Sengoku Basara Two,9
48,48.0,Shinrei Tantei Yakumo,8
49,49.0,Soul Eater,9
50,50.0,Stranger: Mukou Hadan,8
52,52.0,Tekken Chinmi,7
53,53.0,Tonari no Totoro,8
