,Unnamed: 0.1.1,Name,Score
1,1.0,Akira,7
2,2.0,Angel Beats!,10
5,5.0,Another,10
8,8.0,Ao no Exorcist,7
9,9.0,Ao no Exorcist Movie,7
16,16.0,Arslan Senki (TV),8
17,17.0,Bakemono no Ko,10
18,18.0,Bakemonogatari,10
22,22.0,Berserk: Ougon Jidai-hen I - Haou no Tamago,7
23,23.0,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7
24,24.0,Berserk: Ougon Jidai-hen III - Kourin,7
25,25.0,Bishoujo Senshi Sailor Moon,6
26,26.0,Black Lagoon,8
28,28.0,Bleach,8
29,29.0,Bleach Movie 1: Memories of Nobody,8
30,30.0,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,8
31,31.0,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7
32,32.0,Bleach Movie 4: Jigoku-hen,7
37,37.0,Byousoku 5 Centimeter,9
38,38.0,Captain Herlock,9
39,39.0,Claymore,8
40,40.0,Code Geass: Hangyaku no Lelouch,9
42,42.0,Code Geass: Hangyaku no Lelouch R2,10
44,44.0,Cowboy Bebop,8
45,45.0,Cowboy Bebop: Tengoku no Tobira,8
46,46.0,Cross Ange: Tenshi to Ryuu no Rondo,7
49,49.0,Dareka no Manazashi,8
50,50.0,Date A Live,9
51,51.0,Date A Live II,7
53,53.0,Deadman Wonderland,9
55,55.0,Death Note,8
58,58.0,Digimon Adventure,6
62,62.0,Digimon Adventure Movie,5
63,63.0,Digimon Adventure tri. 1: Saikai,7
64,64.0,Digimon Adventure tri. 2: Ketsui,6
65,65.0,Digimon Adventure: Bokura no War Game!,6
69,69.0,Digimon Tamers,10
74,74.0,Dragon Ball,7
77,77.0,Dragon Ball Kai,8
78,78.0,Dragon Ball Kai (2014),8
85,85.0,Dragon Ball Z,8
93,93.0,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",8
97,97.0,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,8
98,98.0,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,8
99,99.0,Dragon Ball Z Movie 14: Kami to Kami,7
100,100.0,Dragon Ball Z Movie 15: Fukkatsu no F,9
112,112.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,9
113,113.0,Elfen Lied,9
115,115.0,Evangelion: 1.0 You Are (Not) Alone,6
116,116.0,Evangelion: 2.0 You Can (Not) Advance,6
117,117.0,Evangelion: 3.0 You Can (Not) Redo,6
126,126.0,Fate/stay night,10
127,127.0,Fate/stay night Movie: Unlimited Blade Works,8
129,129.0,Fate/stay night: Unlimited Blade Works,10
131,131.0,Fate/stay night: Unlimited Blade Works 2nd Season,10
133,133.0,Fate/Zero,10
134,134.0,Fate/Zero 2nd Season,10
135,135.0,Final Fantasy VII: Advent Children,7
139,139.0,Full Metal Panic!,7
140,140.0,Full Metal Panic! The Second Raid,7
143,143.0,Full Metal Panic? Fumoffu,8
144,144.0,Fullmetal Alchemist,7
145,145.0,Fullmetal Alchemist: Brotherhood,10
148,148.0,Fullmetal Alchemist: The Conqueror of Shamballa,8
149,149.0,Fullmetal Alchemist: The Sacred Star of Milos,7
