,Unnamed: 0.1.1,Name,Score
0,0.0,Aa! Megami-sama! (TV),6
2,2.0,Aa! Megami-sama! Movie,4
3,3.0,Afro Samurai,8
4,4.0,Afro Samurai: Resurrection,3
5,5.0,Aho Girl,8
6,6.0,Ajin,5
7,7.0,Ajin 2nd Season,5
8,8.0,Akira,10
9,9.0,Amagi Brilliant Park,5
16,16.0,Another,4
23,23.0,Baccano!,9
25,25.0,Bakemonogatari,4
31,31.0,Beck,5
32,32.0,Ben-To,9
35,35.0,Berserk: Ougon Jidai-hen I - Haou no Tamago,4
36,36.0,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,3
37,37.0,Berserk: Ougon Jidai-hen III - Kourin,7
42,42.0,Black Lagoon,5
44,44.0,Black Lagoon: The Second Barrage,7
49,49.0,Blame! Movie,6
53,53.0,Bleach Movie 1: Memories of Nobody,5
54,54.0,Bleach Movie 4: Jigoku-hen,3
58,58.0,Boku dake ga Inai Machi,8
59,59.0,Boku no Hero Academia,4
61,61.0,Boku wa Tomodachi ga Sukunai,4
62,62.0,Boku wa Tomodachi ga Sukunai Next,3
64,64.0,Bokura wa Minna Kawaisou,7
65,65.0,Bokurano,9
69,69.0,C: The Money of Soul and Possibility Control,6
70,70.0,Captain Herlock,5
74,74.0,Casshern Sins,4
81,81.0,Chuunibyou demo Koi ga Shitai!,6
84,84.0,Code Geass: Hangyaku no Lelouch,5
85,85.0,Code Geass: Hangyaku no Lelouch R2,7
87,87.0,Cowboy Bebop,5
88,88.0,D-Frag!,8
93,93.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,6
94,94.0,Danna ga Nani wo Itteiru ka Wakaranai Ken,4
95,95.0,Danshi Koukousei no Nichijou,6
96,96.0,Darker than Black: Kuro no Keiyakusha,5
99,99.0,Darker than Black: Ryuusei no Gemini,3
102,102.0,Death Billiards,8
103,103.0,Death Note,9
104,104.0,Death Parade,7
105,105.0,Demi-chan wa Kataritai,6
111,111.0,Digimon Adventure,8
113,113.0,Digimon Tamers,8
116,116.0,Dragon Ball,6
117,117.0,Dragon Ball Z,4
119,119.0,Drifters,9
120,120.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,4
122,122.0,Durarara!!,9
124,124.0,Durarara!!x2 Ketsu,8
126,126.0,Durarara!!x2 Shou,7
128,128.0,Durarara!!x2 Ten,8
133,133.0,Evangelion: 1.0 You Are (Not) Alone,8
134,134.0,Evangelion: 2.0 You Can (Not) Advance,10
135,135.0,Evangelion: 3.0 You Can (Not) Redo,1
148,148.0,Fate/stay night,4
149,149.0,Fate/stay night Movie: Unlimited Blade Works,9
150,150.0,Fate/stay night: Unlimited Blade Works,5
152,152.0,Fate/stay night: Unlimited Blade Works 2nd Season,6
154,154.0,Fate/Zero,4
