,Unnamed: 0.1.1,Name,Score
0,0.0,Accel World,7
1,1.0,Air,9
2,2.0,Air Gear,7
5,5.0,Amagami SS,10
6,6.0,Amagami SS+ Plus,10
7,7.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
8,8.0,Another,9
9,9.0,Ao no Exorcist,8
10,10.0,Ao no Exorcist Movie,8
12,12.0,Bakemonogatari,8
13,13.0,Bakuman.,8
14,14.0,Bakuman. 2nd Season,9
15,15.0,Bakuman. 3rd Season,10
18,18.0,Boku wa Tomodachi ga Sukunai,7
20,20.0,Boku wa Tomodachi ga Sukunai Next,8
21,21.0,Btooom!,8
22,22.0,Byousoku 5 Centimeter,10
23,23.0,Chuuka Ichiban!,9
24,24.0,Chuunibyou demo Koi ga Shitai!,9
26,26.0,Clannad,9
28,28.0,Clannad: After Story,10
29,29.0,Code Geass: Hangyaku no Lelouch R2,9
30,30.0,Coquelicot-zaka kara,9
31,31.0,Death Note,9
32,32.0,Dragon Ball Kai,7
33,33.0,Dragon Ball Z,8
34,34.0,Durarara!!,8
35,35.0,Elfen Lied,8
36,36.0,Evangelion: 2.0 You Can (Not) Advance,9
37,37.0,Eve no Jikan (Movie),9
38,38.0,Fairy Tail,8
39,39.0,Fairy Tail Movie 1: Houou no Miko,8
41,41.0,Fate/stay night,8
42,42.0,Fate/Zero,8
43,43.0,Fate/Zero 2nd Season,8
44,44.0,Fullmetal Alchemist: Brotherhood,10
45,45.0,Gintama,10
46,46.0,Gintama Movie 1: Shinyaku Benizakura-hen,9
47,47.0,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,10
48,48.0,Gintama',10
49,49.0,Gintama': Enchousen,10
50,50.0,Gintama.,10
52,52.0,Girls und Panzer,8
53,53.0,Guilty Crown,8
55,55.0,Haiyore! Nyaruko-san W,8
56,56.0,Hal,8
57,57.0,Hanasaku Iroha,9
58,58.0,Hanasaku Iroha: Home Sweet Home,9
59,59.0,Hanbun no Tsuki ga Noboru Sora,8
60,60.0,Hoshi wo Ou Kodomo,9
61,61.0,Hotarubi no Mori e,8
62,62.0,Hunter x Hunter (2011),8
63,63.0,Hyouka,9
65,65.0,K-On!,10
66,66.0,K-On! Movie,10
67,67.0,K-On!!,10
68,68.0,Kami nomi zo Shiru Sekai,8
69,69.0,Kami nomi zo Shiru Sekai II,8
71,71.0,Kami nomi zo Shiru Sekai: Megami-hen,8
73,73.0,Kara no Kyoukai 4: Garan no Dou,9
74,74.0,Kekkaishi,10
75,75.0,Kimi no Na wa.,10
76,76.0,Koe no Katachi,10
78,78.0,Kokoro Connect,8
80,80.0,Kore wa Zombie Desu ka?,7
81,81.0,Kore wa Zombie Desu ka? of the Dead,7
85,85.0,Kuroshitsuji,8
86,86.0,Kuroshitsuji II,8
87,87.0,Little Busters!,9
88,88.0,Little Busters!: Refrain,8
90,90.0,Love Lab,7
91,91.0,Love Live! School Idol Project,7
95,95.0,Maoyuu Maou Yuusha,8
96,96.0,Mayo Chiki!,7
97,97.0,Mimi wo Sumaseba,10
98,98.0,Minami-ke,7
100,100.0,Minami-ke Okaeri,7
101,101.0,Minami-ke Okawari,7
103,103.0,Minami-ke Tadaima,7
104,104.0,Mirai Nikki (TV),9
105,105.0,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8
107,107.0,Mononoke Hime,10
108,108.0,Motto To LOVE-Ru,5
109,109.0,Mushibugyou,7
110,110.0,Nagi no Asukara,8
111,111.0,Naruto: Shippuuden Movie 6 - Road to Ninja,8
113,113.0,Nekomonogatari: Kuro,8
115,115.0,Nisemonogatari,7
116,116.0,Nurarihyon no Mago,8
118,118.0,Nurarihyon no Mago: Sennen Makyou,9
120,120.0,Ookami Kodomo no Ame to Yuki,9
121,121.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7
126,126.0,Sakurasou no Pet na Kanojo,8
127,127.0,Sankarea,10
131,131.0,Sen to Chihiro no Kamikakushi,10
133,133.0,Shakugan no Shana,8
134,134.0,Shakugan no Shana II (Second),8
135,135.0,Shakugan no Shana III (Final),8
136,136.0,Shakugan no Shana Movie,8
137,137.0,Shigatsu wa Kimi no Uso,1
138,138.0,Shingeki no Kyojin,8
139,139.0,SKET Dance,8
141,141.0,Sora no Otoshimono: Tokeijikake no Angeloid,9
142,142.0,Steins;Gate,9
143,143.0,Summer Wars,9
144,144.0,Suzumiya Haruhi no Shoushitsu,8
145,145.0,Suzumiya Haruhi no Yuuutsu,8
147,147.0,Sword Art Online,7
149,149.0,Tari Tari,8
151,151.0,Tenkuu no Shiro Laputa,10
152,152.0,The iDOLM@STER,7
155,155.0,To LOVE-Ru Darkness,7
156,156.0,Toaru Kagaku no Railgun,8
157,157.0,Toaru Kagaku no Railgun S,8
158,158.0,Toaru Majutsu no Index,8
159,159.0,Toki wo Kakeru Shoujo,8
160,160.0,Tonari no Kaibutsu-kun,8
161,161.0,Toradora!,9
162,162.0,True Tears,8
164,164.0,Usagi Drop,10
165,165.0,Working!!,8
167,167.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,9
168,168.0,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,7
