,Unnamed: 0.1.1,Name,Score
0,0.0,"""Bungaku Shoujo"" Movie",7
1,1.0,Akame ga Kill!,8
2,2.0,Ao no Exorcist,8
5,5.0,Baka to Test to Shoukanjuu,5
6,6.0,Baka to Test to Shoukanjuu Ni!,5
7,7.0,Black Lagoon,7
8,8.0,Boku dake ga Inai Machi,9
9,9.0,Boku no Hero Academia,8
10,10.0,Boku wa Tomodachi ga Sukunai,7
11,11.0,Boku wa Tomodachi ga Sukunai Next,7
12,12.0,Byousoku 5 Centimeter,6
13,13.0,Charlotte,8
15,15.0,Chrome Shelled Regios,7
18,18.0,Darker than Black: Kuro no Keiyakusha,8
19,19.0,Darker than Black: Ryuusei no Gemini,8
20,20.0,Date A Live,4
21,21.0,Deadman Wonderland,6
22,22.0,Death Note,9
23,23.0,Demi-chan wa Kataritai,8
24,24.0,Digimon Adventure tri. 1: Saikai,6
28,28.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8
29,29.0,Durarara!!,7
31,31.0,Elfen Lied,4
32,32.0,Fairy Tail,9
33,33.0,Fairy Tail (2014),8
35,35.0,Fullmetal Alchemist: Brotherhood,10
36,36.0,Gabriel DropOut,9
38,38.0,Gekkan Shoujo Nozaki-kun,7
40,40.0,Golden Time,9
42,42.0,Grisaia no Kajitsu,6
44,44.0,Guilty Crown,7
46,46.0,Hajime no Ippo,10
47,47.0,Hajime no Ippo: New Challenger,10
48,48.0,Handa-kun,8
49,49.0,Hataraku Maou-sama!,7
50,50.0,Hentai Ouji to Warawanai Neko.,4
53,53.0,High School DxD,7
54,54.0,High School DxD BorN,7
55,55.0,High School DxD New,7
58,58.0,Highschool of the Dead,6
59,59.0,Himouto! Umaru-chan,8
61,61.0,Hunter x Hunter (2011),10
65,65.0,Jormungand,5
66,66.0,Kakegurui,8
67,67.0,Kami nomi zo Shiru Sekai,7
68,68.0,Kami nomi zo Shiru Sekai II,7
71,71.0,Kimi no Na wa.,10
72,72.0,Kiseijuu: Sei no Kakuritsu,9
74,74.0,Koe no Katachi,10
75,75.0,Kokoro Connect,8
77,77.0,Kono Subarashii Sekai ni Shukufuku wo!,7
78,78.0,Kotonoha no Niwa,8
80,80.0,Kuroko no Basket,8
81,81.0,Kuroko no Basket 2nd Season,8
82,82.0,Kuroko no Basket 3rd Season,8
84,84.0,Mahouka Koukou no Rettousei,6
87,87.0,Mayo Chiki!,9
88,88.0,Mob Psycho 100,8
89,89.0,Nanatsu no Taizai,8
90,90.0,Naruto,8
91,91.0,Naruto: Shippuuden,9
92,92.0,Nejimaki Seirei Senki: Tenkyou no Alderamin,8
93,93.0,No Game No Life,7
94,94.0,One Punch Man,9
96,96.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
101,101.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",6
103,103.0,Owari no Seraph,7
104,104.0,Owari no Seraph: Nagoya Kessen-hen,7
105,105.0,Papa no Iukoto wo Kikinasai!,5
107,107.0,Prison School,6
109,109.0,Rakudai Kishi no Cavalry,6
110,110.0,ReLIFE,8
111,111.0,Rokka no Yuusha,5
115,115.0,Saenai Heroine no Sodatekata,9
118,118.0,Sakurasou no Pet na Kanojo,7
120,120.0,Seitokai Yakuindomo,5
122,122.0,Shigatsu wa Kimi no Uso,10
123,123.0,Shingeki no Bahamut: Genesis,8
125,125.0,Shokugeki no Souma,9
126,126.0,Shokugeki no Souma: Ni no Sara,9
127,127.0,Sukitte Ii na yo.,5
128,128.0,Sword Art Online,7
131,131.0,Tokyo Ghoul,7
133,133.0,Tokyo Magnitude 8.0,7
134,134.0,Trinity Seven,6
135,135.0,White Album 2,9
136,136.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,10
137,137.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,10
138,138.0,Yamada-kun to 7-nin no Majo (TV),8
140,140.0,Youjo Senki,8
141,141.0,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),8
142,142.0,Zankyou no Terror,8
143,143.0,Zero no Tsukaima,4
144,144.0,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,6
