,Unnamed: 0.1.1,Name,Score
0,0,3-gatsu no Lion,8
1,1,Afro Samurai,5
3,3,Akira,9
5,5,Aldnoah.Zero,4
8,8,Azumanga Daioh,7
9,9,Bakemonogatari,10
13,13,Barakamon,8
16,16,Berserk: Ougon Jidai-hen I - Haou no Tamago,6
17,17,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,6
18,18,Berserk: Ougon Jidai-hen III - Kourin,7
19,19,Black Lagoon,7
22,22,Black Lagoon: The Second Barrage,7
23,23,Bleach,5
24,24,Bleach Movie 1: Memories of Nobody,5
25,25,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,5
26,26,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,6
27,27,Bleach Movie 4: Jigoku-hen,6
28,28,Boku dake ga Inai Machi,7
29,29,Bokura wa Minna Kawaisou,7
30,30,Byousoku 5 Centimeter,6
36,36,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,6
37,37,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,6
38,38,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,5
39,39,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,5
41,41,Code Geass: Hangyaku no Lelouch,10
43,43,Code Geass: Hangyaku no Lelouch R2,10
44,44,Cowboy Bebop,9
45,45,Cowboy Bebop: Tengoku no Tobira,8
46,46,Cross Ange: Tenshi to Ryuu no Rondo,7
47,47,D-Frag!,7
51,51,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,3
52,52,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,2
53,53,Danna ga Nani wo Itteiru ka Wakaranai Ken,7
54,54,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,5
55,55,Danshi Koukousei no Nichijou,9
57,57,Deadman Wonderland,4
58,58,Death Billiards,7
59,59,Death Note,7
60,60,Death Parade,7
64,64,Dragon Ball,9
70,70,Dragon Ball Z,7
78,78,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",6
82,82,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7
