,Unnamed: 0.1.1,Name,Score
1,1.0,Accel World,9
3,3.0,Akame ga Kill!,10
4,4.0,Angel Beats!,8
7,7.0,Another,7
8,8.0,Ansatsu Kyoushitsu (TV),10
9,9.0,Ansatsu Kyoushitsu (TV) 2nd Season,10
10,10.0,Ao no Exorcist,9
11,11.0,Ben-To,7
14,14.0,Boku no Hero Academia,9
15,15.0,Bungou Stray Dogs,7
16,16.0,Charlotte,10
18,18.0,Date A Live,8
19,19.0,Date A Live II,8
20,20.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
21,21.0,Gyakkyou Burai Kaiji: Hakairoku-hen,8
22,22.0,Gyakkyou Burai Kaiji: Ultimate Survivor,8
23,23.0,High School DxD,6
24,24.0,High School DxD New,6
25,25.0,Highschool of the Dead,9
26,26.0,Howl no Ugoku Shiro,8
27,27.0,Inazuma Eleven,7
28,28.0,Inu x Boku SS,7
32,32.0,Kill la Kill,8
33,33.0,Kimi no Na wa.,9
34,34.0,Kiseijuu: Sei no Kakuritsu,8
37,37.0,Koe no Katachi,8
38,38.0,Kore wa Zombie Desu ka?,8
39,39.0,Log Horizon,8
40,40.0,Log Horizon 2nd Season,8
41,41.0,Magi: The Kingdom of Magic,8
42,42.0,Magi: The Labyrinth of Magic,8
45,45.0,Mirai Nikki (TV),10
48,48.0,Naruto,7
49,49.0,No Game No Life,8
50,50.0,Noragami,8
51,51.0,Noragami Aragoto,8
52,52.0,One Punch Man,9
54,54.0,Rainbow: Nisha Rokubou no Shichinin,10
55,55.0,Re:Zero kara Hajimeru Isekai Seikatsu,8
56,56.0,Sen to Chihiro no Kamikakushi,8
58,58.0,Shingeki no Kyojin,8
59,59.0,Shingeki no Kyojin Season 2,7
60,60.0,Sora no Otoshimono,8
61,61.0,Sora no Otoshimono: Forte,8
62,62.0,Soul Eater,8
63,63.0,Sword Art Online,9
65,65.0,Tokyo Ghoul,7
67,67.0,Toradora!,7
