,Unnamed: 0.1.1,Name,Score
0,0.0,Ao no Exorcist,7
1,1.0,Arslan Senki (TV),9
2,2.0,Baccano!,8
4,4.0,Black Lagoon,7
5,5.0,Black Lagoon: The Second Barrage,6
6,6.0,Boku dake ga Inai Machi,7
7,7.0,Clannad,9
8,8.0,Clannad: After Story,9
9,9.0,Code Geass: Hangyaku no Lelouch,10
10,10.0,Code Geass: Hangyaku no Lelouch R2,9
11,11.0,Darker than Black: Kuro no Keiyakusha,8
13,13.0,Darker than Black: Ryuusei no Gemini,7
14,14.0,Death Billiards,8
15,15.0,Death Note,9
16,16.0,Death Parade,8
17,17.0,Durarara!!,9
18,18.0,Evangelion: 1.0 You Are (Not) Alone,10
19,19.0,Evangelion: 2.0 You Can (Not) Advance,9
20,20.0,Evangelion: 3.0 You Can (Not) Redo,7
21,21.0,Fate/Zero,7
22,22.0,Fullmetal Alchemist: Brotherhood,9
23,23.0,Guilty Crown,6
24,24.0,Kenpuu Denki Berserk,8
25,25.0,Kill la Kill,8
26,26.0,Log Horizon,7
27,27.0,Lucky Star,6
28,28.0,Mirai Nikki (TV),7
29,29.0,Needless,5
30,30.0,Neon Genesis Evangelion,10
31,31.0,One Punch Man,9
32,32.0,Planetes,8
34,34.0,Psycho-Pass,9
35,35.0,Re:Zero kara Hajimeru Isekai Seikatsu,7
37,37.0,Shingeki no Kyojin,8
39,39.0,Steins;Gate,9
40,40.0,Sword Art Online,5
42,42.0,Tengen Toppa Gurren Lagann,7
43,43.0,Zetsuen no Tempest,7
