,Unnamed: 0.1.1,Name,Score
0,0,Accel World,8
1,1,Akame ga Kill!,9
2,2,Angel Beats!,10
3,3,Another,9
4,4,Ansatsu Kyoushitsu (TV),9
5,5,Ansatsu Kyoushitsu (TV) 2nd Season,10
6,6,Baka to Test to Shoukanjuu,9
8,8,Charlotte,10
10,10,Chuunibyou demo Koi ga Shitai!,9
11,11,Chuunibyou demo Koi ga Shitai! Ren,8
12,12,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,9
13,13,Date A Live,8
15,15,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,9
16,16,ef: A Tale of Memories.,10
17,17,Elfen Lied,8
19,19,Guilty Crown,9
20,20,Hataraku Maou-sama!,8
21,21,High School DxD,8
23,23,Hyouka,9
25,25,Kuroko no Basket,9
26,26,Kuroko no Basket 2nd Season,9
27,27,Kuroko no Basket 3rd Season,10
28,28,Kuroko no Basket: Last Game,10
29,29,Log Horizon,7
31,31,Mahou Shoujo Madoka Magica,8
32,32,Mahouka Koukou no Rettousei,9
34,34,Mayo Chiki!,7
35,35,Mirai Nikki (TV),6
36,36,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,9
37,37,Motto To LOVE-Ru,8
38,38,Nagi no Asukara,10
39,39,Naruto: Shippuuden,10
41,41,No Game No Life,10
42,42,Owari no Seraph,9
43,43,Owari no Seraph: Nagoya Kessen-hen,10
44,44,Re:Zero kara Hajimeru Isekai Seikatsu,10
48,48,Sakurasou no Pet na Kanojo,9
50,50,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,10
51,51,Sword Art Online,9
53,53,Sword Art Online Movie: Ordinal Scale,10
55,55,To LOVE-Ru Darkness,9
56,56,To LOVE-Ru Darkness 2nd,9
57,57,Tokyo Ghoul,8
59,59,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
