,Unnamed: 0.1.1,Name,Score
0,0.0,Akame ga Kill!,9
1,1.0,Ansatsu Kyoushitsu (TV),7
2,2.0,Bleach,8
3,3.0,Boku no Hero Academia,9
4,4.0,Boruto: Naruto the Movie,7
6,6.0,Chobits,9
7,7.0,Chuunibyou demo Koi ga Shitai!,9
8,8.0,Chuunibyou demo Koi ga Shitai! Ren,9
9,9.0,Date A Live,9
10,10.0,Date A Live II,8
11,11.0,Death Note,6
15,15.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,9
17,17.0,Fairy Tail,10
18,18.0,Fairy Tail (2014),8
19,19.0,Fullmetal Alchemist: Brotherhood,7
22,22.0,High School DxD,5
23,23.0,Himouto! Umaru-chan,8
24,24.0,Inazuma Eleven,8
26,26.0,Kakegurui,8
27,27.0,Kill la Kill,9
28,28.0,Kimi no Na wa.,8
31,31.0,Kiznaiver,7
32,32.0,Kono Subarashii Sekai ni Shukufuku wo!,9
33,33.0,Kono Subarashii Sekai ni Shukufuku wo! 2,9
34,34.0,Log Horizon,7
35,35.0,Log Horizon 2nd Season,8
36,36.0,Mahouka Koukou no Rettousei,8
37,37.0,Mirai Nikki (TV),7
39,39.0,Nanatsu no Taizai,8
40,40.0,Nanatsu no Taizai: Seisen no Shirushi,8
41,41.0,Naruto,8
42,42.0,Naruto: Shippuuden,8
43,43.0,New Game!,7
44,44.0,No Game No Life,9
45,45.0,Noragami,6
46,46.0,One Punch Man,9
47,47.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
48,48.0,Overlord,8
49,49.0,Re:Creators,7
50,50.0,Re:Zero kara Hajimeru Isekai Seikatsu,10
51,51.0,ReLIFE,6
52,52.0,Sakurasou no Pet na Kanojo,7
53,53.0,Sen to Chihiro no Kamikakushi,8
54,54.0,Shingeki no Kyojin,9
55,55.0,Shingeki no Kyojin Season 2,9
57,57.0,Sword Art Online,9
59,59.0,Sword Art Online Movie: Ordinal Scale,9
60,60.0,Tokyo Ghoul,7
63,63.0,Youjo Senki,8
