,Unnamed: 0.1.1,Name,Score
0,0,91 Days,10
2,2,Akame ga Kill!,5
3,3,Angel Beats!,7
5,5,Another,5
6,6,Baccano!,9
8,8,Black Lagoon,8
10,10,Black Lagoon: The Second Barrage,8
13,13,Boku dake ga Inai Machi,9
14,14,Boku no Hero Academia,8
18,18,Boruto: Naruto the Movie,8
20,20,Bungou Stray Dogs,8
21,21,Bungou Stray Dogs 2nd Season,9
22,22,Byousoku 5 Centimeter,7
26,26,Code Geass: Hangyaku no Lelouch,9
27,27,Code Geass: Hangyaku no Lelouch R2,9
28,28,Deadman Wonderland,5
29,29,Death Billiards,8
30,30,Death Note,10
31,31,Death Parade,8
35,35,Doukyuusei (Movie),9
36,36,Drifters,9
38,38,Durarara!!,9
40,40,Durarara!!x2 Ketsu,8
42,42,Durarara!!x2 Shou,8
44,44,Durarara!!x2 Ten,8
46,46,Fairy Tail,7
49,49,Fate/stay night,8
50,50,Fate/stay night Movie: Unlimited Blade Works,7
51,51,Fate/Zero,10
52,52,Fate/Zero 2nd Season,10
53,53,Free!,7
54,54,Free!: Eternal Summer,7
57,57,Fullmetal Alchemist: Brotherhood,10
60,60,Haikyuu!!,10
61,61,Haikyuu!! Second Season,10
62,62,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,10
65,65,Hotarubi no Mori e,9
67,67,Jigoku Shoujo,7
68,68,Jigoku Shoujo Futakomori,7
69,69,Jigoku Shoujo Mitsuganae,7
71,71,Junjou Romantica,7
72,72,Junjou Romantica 2,7
73,73,Junjou Romantica 3,7
75,75,Kakegurui,9
76,76,Kimi no Na wa.,9
77,77,Koe no Katachi,10
82,82,Kuroko no Basket,9
83,83,Kuroko no Basket 2nd Season,9
85,85,Kuroko no Basket 3rd Season,9
95,95,Kuroshitsuji,8
96,96,Kuroshitsuji II,7
99,99,Kuroshitsuji: Book of Circus,9
101,101,Kuzu no Honkai,4
102,102,Love Stage!!,5
103,103,Mirai Nikki (TV),7
105,105,Naruto,8
115,115,Naruto: Shippuuden,8
116,116,Naruto: Shippuuden Movie 5 - Blood Prison,7
117,117,Naruto: Shippuuden Movie 6 - Road to Ninja,8
121,121,Nijiiro Days,7
122,122,Nodame Cantabile,9
123,123,Nodame Cantabile Finale,10
128,128,Nodame Cantabile: Paris-hen,9
129,129,Noragami,9
130,130,Noragami Aragoto,9
133,133,Ouran Koukou Host Club,8
134,134,Owari no Seraph,7
136,136,Owari no Seraph: Nagoya Kessen-hen,7
139,139,Psycho-Pass,9
140,140,Psycho-Pass 2,7
141,141,Psycho-Pass Movie,8
142,142,Samurai Champloo,9
143,143,Sekaiichi Hatsukoi,8
144,144,Sekaiichi Hatsukoi 2,8
145,145,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8
147,147,Sekaiichi Hatsukoi: Valentine-hen,8
148,148,Shigatsu wa Kimi no Uso,9
150,150,Shiki,7
151,151,Shingeki no Kyojin,9
152,152,Shingeki no Kyojin Movie 1: Guren no Yumiya,9
153,153,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,9
155,155,Shingeki no Kyojin Season 2,10
159,159,Steins;Gate,9
164,164,Super Lovers,7
165,165,Super Lovers 2,7
166,166,Sword Art Online,6
167,167,The Last: Naruto the Movie,9
172,172,Tonari no Kaibutsu-kun,5
175,175,Vampire Knight Guilty,7
176,176,Youjo Senki,8
177,177,Yuri!!! on Ice,9
179,179,Zankyou no Terror,9
