,Unnamed: 0.1.1,Name,Score
0,0,Akame ga Kill!,7
1,1,Ao no Exorcist,8
2,2,Ao no Exorcist Movie,8
3,3,Ao no Exorcist: Kyoto Fujouou-hen,7
4,4,Barakamon,9
5,5,Black Bullet,6
6,6,Boku no Hero Academia,9
9,9,Fate/stay night,7
10,10,Free!,10
11,11,Haikyuu!!,10
12,12,Haikyuu!! Second Season,10
13,13,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,10
14,14,Highschool of the Dead,7
15,15,Mahouka Koukou no Rettousei,9
16,16,Owari no Seraph,8
17,17,Owari no Seraph: Nagoya Kessen-hen,8
19,19,Shingeki no Kyojin,9
20,20,Shingeki no Kyojin Season 2,5
21,21,Shokugeki no Souma,10
22,22,Shokugeki no Souma: Ni no Sara,10
23,23,Sword Art Online,7
25,25,Yowamushi Pedal,8
26,26,Yowamushi Pedal Movie,7
27,27,Yowamushi Pedal: Grande Road,9
28,28,Yowamushi Pedal: New Generation,9
