,Unnamed: 0.1.1,Name,Score
3,3.0,Accel World,8
6,6.0,Aho Girl,10
7,7.0,Akame ga Kill!,10
12,12.0,Amagami SS,9
14,14.0,Amagami SS+ Plus,10
15,15.0,Amagi Brilliant Park,10
18,18.0,Angel Beats!,7
23,23.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
24,24.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,10
25,25.0,Ano Natsu de Matteru,10
27,27.0,Another,6
31,31.0,Ansatsu Kyoushitsu (TV),7
32,32.0,Ansatsu Kyoushitsu (TV) 2nd Season,10
34,34.0,Ao Haru Ride,10
36,36.0,Ao no Exorcist,10
37,37.0,Ao no Exorcist Movie,10
39,39.0,Ao no Exorcist: Kyoto Fujouou-hen,8
42,42.0,Arakawa Under the Bridge x Bridge,9
49,49.0,Asura Cryin' 2,10
51,51.0,Baka to Test to Shoukanjuu,9
52,52.0,Baka to Test to Shoukanjuu Ni!,9
54,54.0,Bakemonogatari,8
55,55.0,Bakuman.,8
56,56.0,Bakuman. 2nd Season,10
57,57.0,Bakuman. 3rd Season,10
60,60.0,Barakamon,10
62,62.0,Ben-To,10
68,68.0,Binbougami ga!,10
69,69.0,Black Bullet,10
76,76.0,Blood Lad,10
82,82.0,Boku dake ga Inai Machi,10
83,83.0,Boku no Hero Academia,10
86,86.0,Boku wa Tomodachi ga Sukunai,10
87,87.0,Boku wa Tomodachi ga Sukunai Next,10
89,89.0,Bokura wa Minna Kawaisou,8
93,93.0,Btooom!,10
94,94.0,Bungou Stray Dogs,10
95,95.0,Byousoku 5 Centimeter,10
97,97.0,Captain Herlock,9
99,99.0,Charlotte,10
103,103.0,Chuunibyou demo Koi ga Shitai!,8
105,105.0,Chuunibyou demo Koi ga Shitai! Ren,7
107,107.0,Clannad,10
108,108.0,Clannad: After Story,8
109,109.0,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,10
110,110.0,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,10
111,111.0,Code Geass: Hangyaku no Lelouch,10
113,113.0,Code Geass: Hangyaku no Lelouch R2,10
117,117.0,D-Frag!,10
122,122.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,10
123,123.0,Danna ga Nani wo Itteiru ka Wakaranai Ken,10
124,124.0,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,10
126,126.0,Darker than Black: Kuro no Keiyakusha,10
128,128.0,Darker than Black: Ryuusei no Gemini,9
129,129.0,Date A Live,7
131,131.0,Deadman Wonderland,10
133,133.0,Death Note,7
134,134.0,Death Parade,10
140,140.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,10
142,142.0,Durarara!!,10
144,144.0,Durarara!!x2 Shou,10
151,151.0,Eve no Jikan (Movie),10
152,152.0,Fairy Tail,10
153,153.0,Fairy Tail (2014),10
154,154.0,Fairy Tail Movie 1: Houou no Miko,10
161,161.0,Free!,6
166,166.0,Fullmetal Alchemist: Brotherhood,7
169,169.0,Gabriel DropOut,7
171,171.0,Gakkougurashi!,10
173,173.0,Gatchaman Crowds,8
174,174.0,Gatchaman Crowds Insight,10
177,177.0,Gekkan Shoujo Nozaki-kun,10
180,180.0,Genshiken Nidaime,8
185,185.0,Ghost in the Shell: Arise - Border:1 Ghost Pain,10
186,186.0,Ghost in the Shell: Arise - Border:2 Ghost Whispers,10
187,187.0,Ghost in the Shell: Arise - Border:3 Ghost Tears,10
188,188.0,Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,10
189,189.0,Giant Killing,6
190,190.0,GJ-bu,8
196,196.0,Golden Time,10
197,197.0,Grisaia no Kajitsu,10
201,201.0,Grisaia no Rakuen,10
203,203.0,Groove Adventure Rave,10
204,204.0,Gugure! Kokkuri-san,10
205,205.0,Guilty Crown,10
210,210.0,Hai to Gensou no Grimgar,9
214,214.0,Haiyore! Nyaruko-san W,10
220,220.0,Hamatora The Animation,10
221,221.0,Hanamonogatari,10
224,224.0,Hataraku Maou-sama!,9
225,225.0,Hatsukoi Limited.,10
228,228.0,Hentai Ouji to Warawanai Neko.,10
233,233.0,High School DxD,10
234,234.0,High School DxD BorN,10
236,236.0,High School DxD New,10
239,239.0,Highschool of the Dead,10
242,242.0,Himouto! Umaru-chan,10
245,245.0,Hitsugi no Chaika,10
254,254.0,Hyouka,10
268,268.0,Isshuukan Friends.,10
272,272.0,K-On!,10
273,273.0,K-On! Movie,10
274,274.0,K-On!!,10
279,279.0,Kaichou wa Maid-sama!,10
282,282.0,Kami nomi zo Shiru Sekai: Megami-hen,9
283,283.0,Kamisama Hajimemashita,9
286,286.0,Kamisama no Inai Nichiyoubi,10
288,288.0,Kamisama no Memochou,10
289,289.0,Kannagi,9
294,294.0,Kekkai Sensen,9
297,297.0,Kill la Kill,10
302,302.0,Kimi ni Todoke,9
303,303.0,Kimi ni Todoke 2nd Season,10
308,308.0,Kimi no Na wa.,10
309,309.0,Kiseijuu: Sei no Kakuritsu,10
313,313.0,Kiznaiver,8
314,314.0,Kizumonogatari I: Tekketsu-hen,10
315,315.0,Kizumonogatari II: Nekketsu-hen,10
316,316.0,Kizumonogatari III: Reiketsu-hen,10
317,317.0,Kobayashi-san Chi no Maid Dragon,10
323,323.0,Koe no Katachi,10
327,327.0,Kokoro Connect,10
329,329.0,Kokoro ga Sakebitagatterunda.,10
332,332.0,Kono Bijutsubu ni wa Mondai ga Aru!,10
335,335.0,Kono Subarashii Sekai ni Shukufuku wo!,10
342,342.0,Kotonoha no Niwa,10
347,347.0,Kowarekake no Orgel (Movie),8
351,351.0,Kyoukai no Kanata,10
353,353.0,Kyoukaisenjou no Horizon II,10
357,357.0,Little Witch Academia,10
358,358.0,Little Witch Academia: Mahoujikake no Parade,10
359,359.0,Log Horizon,10
360,360.0,Log Horizon 2nd Season,10
361,361.0,Love Lab,10
363,363.0,Love Live! School Idol Project,10
364,364.0,Love Live! School Idol Project 2nd Season,10
368,368.0,Love Live! Sunshine!!,8
369,369.0,Love Live! The School Idol Movie,10
370,370.0,Lucky Star,8
374,374.0,Magi: The Kingdom of Magic,10
375,375.0,Magi: The Labyrinth of Magic,10
377,377.0,Mahou Shoujo Madoka Magica,10
378,378.0,Mahouka Koukou no Rettousei,7
381,381.0,Majokko Shimai no Yoyo to Nene,8
388,388.0,Maoyuu Maou Yuusha,10
390,390.0,Mardock Scramble: The First Compression,9
391,391.0,Mardock Scramble: The Second Combustion,9
392,392.0,Mardock Scramble: The Third Exhaust,10
395,395.0,Mayo Chiki!,9
397,397.0,Medaka Box Abnormal,9
400,400.0,Mikakunin de Shinkoukei,10
402,402.0,Minami-ke,9
404,404.0,Minami-ke Okaeri,9
405,405.0,Minami-ke Okawari,9
407,407.0,Minami-ke Tadaima,7
409,409.0,Mirai Nikki (TV),10
412,412.0,Mobile Suit Gundam 00,6
413,413.0,Mobile Suit Gundam 00 Second Season,6
415,415.0,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8
417,417.0,Monogatari Series: Second Season,10
420,420.0,Motto To LOVE-Ru,8
424,424.0,Mushishi,10
426,426.0,Mushishi Zoku Shou,10
427,427.0,Mushishi Zoku Shou 2nd Season,10
429,429.0,Mushishi Zoku Shou: Suzu no Shizuku,10
430,430.0,Nagi no Asukara,10
432,432.0,Nanatsu no Taizai,10
434,434.0,Nanatsu no Taizai: Seisen no Shirushi,10
441,441.0,Nichijou,10
443,443.0,Nisekoi,10
445,445.0,Nisekoi:,10
448,448.0,Nisemonogatari,8
449,449.0,No Game No Life,10
451,451.0,No.6,7
453,453.0,Non Non Biyori,6
454,454.0,Non Non Biyori Repeat,6
456,456.0,Noragami,10
457,457.0,Noragami Aragoto,10
464,464.0,Nurarihyon no Mago,10
466,466.0,Nurarihyon no Mago: Sennen Makyou,9
469,469.0,Oda Nobuna no Yabou,10
478,478.0,One Punch Man,10
485,485.0,Ookami Shoujo to Kuro Ouji,10
487,487.0,Ookami to Koushinryou,8
488,488.0,Ookami to Koushinryou II,7
492,492.0,Orange,6
493,493.0,Ore Monogatari!!,10
494,494.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,10
498,498.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7
500,500.0,Outbreak Company,10
501,501.0,Overlord,10
502,502.0,Owari no Seraph,5
504,504.0,Owari no Seraph: Nagoya Kessen-hen,5
506,506.0,Owarimonogatari,10
507,507.0,Owarimonogatari 2nd Season,10
508,508.0,Papa no Iukoto wo Kikinasai!,10
511,511.0,Phantom: Requiem for the Phantom,10
513,513.0,Plastic Memories,10
519,519.0,Prison School,10
529,529.0,Rakudai Kishi no Cavalry,10
532,532.0,Re:Zero kara Hajimeru Isekai Seikatsu,10
536,536.0,Rozen Maiden (2013),9
538,538.0,Saenai Heroine no Sodatekata,10
541,541.0,Sakurasou no Pet na Kanojo,10
542,542.0,Sankarea,10
550,550.0,School Rumble,7
551,551.0,School Rumble Ni Gakki,9
553,553.0,Seitokai no Ichizon,9
555,555.0,Seitokai Yakuindomo,10
557,557.0,Seitokai Yakuindomo*,10
562,562.0,Sekirei: Pure Engagement,9
566,566.0,Senki Zesshou Symphogear G,9
568,568.0,Servant x Service,9
569,569.0,Shakugan no Shana,8
570,570.0,Shakugan no Shana II (Second),8
571,571.0,Shakugan no Shana III (Final),7
573,573.0,Shigatsu wa Kimi no Uso,10
575,575.0,Shijou Saikyou no Deshi Kenichi,10
581,581.0,Shingeki no Bahamut: Genesis,10
584,584.0,Shingeki no Kyojin,10
586,586.0,Shingeki no Kyojin Season 2,10
594,594.0,Shokugeki no Souma,10
596,596.0,Shokugeki no Souma: Ni no Sara,10
598,598.0,Sora no Otoshimono,8
