,Unnamed: 0.1.1,Name,Score
2,2.0,Acchi Kocchi (TV),10
3,3.0,Akame ga Kill!,7
4,4.0,Akira,8
5,5.0,Aldnoah.Zero,7
7,7.0,Amaama to Inazuma,6
8,8.0,Amagami SS,8
9,9.0,Amagi Brilliant Park,8
10,10.0,Angel Beats!,10
11,11.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
12,12.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8
13,13.0,Another,8
14,14.0,Ansatsu Kyoushitsu (TV),7
16,16.0,Ao no Exorcist,6
17,17.0,Aoi Bungaku Series,8
18,18.0,Arakawa Under the Bridge,8
19,19.0,Arakawa Under the Bridge x Bridge,8
22,22.0,Aura: Maryuuin Kouga Saigo no Tatakai,6
23,23.0,Baccano!,8
24,24.0,Baka to Test to Shoukanjuu,7
25,25.0,Bakemonogatari,8
26,26.0,Bakuman.,9
27,27.0,Barakamon,8
28,28.0,Basilisk: Kouga Ninpou Chou,9
30,30.0,Berserk: Ougon Jidai-hen I - Haou no Tamago,9
31,31.0,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,9
32,32.0,Berserk: Ougon Jidai-hen III - Kourin,9
34,34.0,Binbougami ga!,9
36,36.0,Black Cat,7
37,37.0,Black Lagoon,8
40,40.0,Blame! Movie,8
43,43.0,Boku dake ga Inai Machi,10
44,44.0,Bokura wa Minna Kawaisou,7
45,45.0,Break Blade,6
47,47.0,Captain Herlock,7
48,48.0,Chobits,10
49,49.0,Chrome Shelled Regios,7
50,50.0,Chuunibyou demo Koi ga Shitai!,8
51,51.0,Clannad,8
52,52.0,Clannad: After Story,9
53,53.0,Claymore,10
54,54.0,Code Geass: Hangyaku no Lelouch,7
55,55.0,Code Geass: Hangyaku no Lelouch R2,7
56,56.0,Cowboy Bebop,10
57,57.0,Cowboy Bebop: Tengoku no Tobira,10
58,58.0,D-Frag!,8
59,59.0,D.Gray-man,8
60,60.0,D.Gray-man Hallow,9
62,62.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7
63,63.0,Danshi Koukousei no Nichijou,9
64,64.0,Darker than Black: Kuro no Keiyakusha,10
66,66.0,Darker than Black: Ryuusei no Gemini,9
68,68.0,Deadman Wonderland,7
70,70.0,Death Note,7
71,71.0,Death Parade,9
72,72.0,Demi-chan wa Kataritai,7
77,77.0,Dragon Ball,9
79,79.0,Dragon Ball Z,9
81,81.0,Drifters,7
84,84.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,9
85,85.0,Durarara!!,8
86,86.0,Elfen Lied,8
87,87.0,Eureka Seven,7
88,88.0,Fate/stay night,7
89,89.0,Fate/stay night: Unlimited Blade Works,8
90,90.0,Fate/stay night: Unlimited Blade Works 2nd Season,7
91,91.0,Fate/Zero,9
94,94.0,Flying Witch,7
97,97.0,Fullmetal Alchemist,8
98,98.0,Ga-Rei: Zero,8
99,99.0,Gabriel DropOut,6
100,100.0,Gake no Ue no Ponyo,8
101,101.0,Gakkou no Kaidan,9
102,102.0,Gangsta.,8
105,105.0,Gantz:O,9
106,106.0,Gekkan Shoujo Nozaki-kun,9
107,107.0,Ghost in the Shell: Stand Alone Complex,8
108,108.0,Ghost in the Shell: Stand Alone Complex 2nd GIG,9
112,112.0,Gosick,9
113,113.0,Gugure! Kokkuri-san,8
115,115.0,Gungrave,9
116,116.0,Gunslinger Girl,8
117,117.0,Hai to Gensou no Grimgar,8
119,119.0,Haiyore! Nyaruko-san W,8
121,121.0,Handa-kun,7
122,122.0,Hataraku Maou-sama!,9
125,125.0,Higurashi no Naku Koro ni Kai,8
127,127.0,Hikaru no Go,7
129,129.0,Hitsugi no Chaika,6
130,130.0,Hoozuki no Reitetsu,8
132,132.0,Hotarubi no Mori e,9
133,133.0,Howl no Ugoku Shiro,8
134,134.0,Hunter x Hunter (2011),8
135,135.0,Hyouka,7
139,139.0,Inu x Boku SS,7
140,140.0,InuYasha,10
141,141.0,InuYasha: Kanketsu-hen,6
142,142.0,Isshuukan Friends.,9
145,145.0,Jigoku Shoujo,9
146,146.0,Jigoku Shoujo Futakomori,9
147,147.0,Jin-Rou,9
150,150.0,Jormungand,8
152,152.0,Kaichou wa Maid-sama!,10
154,154.0,Kamisama no Inai Nichiyoubi,9
155,155.0,Kamisama no Memochou,9
156,156.0,Kannagi,8
158,158.0,Kimi no Na wa.,7
159,159.0,Kimi to Boku.,9
160,160.0,Kimi to Boku. 2,8
161,161.0,Kiseijuu: Sei no Kakuritsu,7
162,162.0,Kobato.,9
163,163.0,Koe no Katachi,10
164,164.0,Kono Bijutsubu ni wa Mondai ga Aru!,7
165,165.0,Kono Subarashii Sekai ni Shukufuku wo!,9
167,167.0,Kuzu no Honkai,7
168,168.0,Kyoukai no Kanata,6
170,170.0,Love Stage!!,6
171,171.0,Lucky Star,9
172,172.0,Macross F,8
176,176.0,Maoyuu Maou Yuusha,6
180,180.0,Mawaru Penguindrum,8
183,183.0,Minami-ke,9
184,184.0,Minami-ke Okaeri,9
185,185.0,Minami-ke Okawari,9
187,187.0,Minami-ke Tadaima,8
188,188.0,Mirai Nikki (TV),7
189,189.0,Mitsudomoe,9
190,190.0,Mitsudomoe Zouryouchuu!,9
191,191.0,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8
192,192.0,Mononoke Hime,8
194,194.0,Mousou Dairinin,8
195,195.0,Mushishi,8
196,196.0,Mushishi Zoku Shou,8
197,197.0,Mushishi Zoku Shou 2nd Season,9
199,199.0,Nabari no Ou,8
200,200.0,Nana,5
201,201.0,Nanbaka,7
202,202.0,Natsume Yuujinchou,7
203,203.0,Needless,9
205,205.0,Neon Genesis Evangelion,7
207,207.0,New Game!,8
208,208.0,NHK ni Youkoso!,10
209,209.0,No Game No Life,8
210,210.0,Non Non Biyori,7
211,211.0,Noragami,8
212,212.0,Noragami Aragoto,6
214,214.0,Oda Nobuna no Yabou,7
215,215.0,One Punch Man,10
216,216.0,Ookami Shoujo to Kuro Ouji,8
217,217.0,Ookami to Koushinryou II,8
219,219.0,Orange,8
220,220.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,5
222,222.0,Osomatsu-san,8
223,223.0,Ouran Koukou Host Club,7
224,224.0,Outbreak Company,8
225,225.0,Overlord,10
227,227.0,Plastic Memories,8
228,228.0,Pokemon,8
229,229.0,Prison School,10
230,230.0,Psycho-Pass,8
232,232.0,Re:Zero kara Hajimeru Isekai Seikatsu,10
233,233.0,Redline,10
234,234.0,ReLIFE,9
235,235.0,Robotics;Notes,8
236,236.0,Rokka no Yuusha,8
241,241.0,Sakamoto desu ga?,7
242,242.0,Sakurasou no Pet na Kanojo,8
243,243.0,Samurai Champloo,9
244,244.0,School Rumble Ni Gakki,7
245,245.0,Seirei no Moribito,5
246,246.0,Seitokai Yakuindomo,8
250,250.0,Selector Spread WIXOSS,5
251,251.0,Sen to Chihiro no Kamikakushi,8
252,252.0,Serial Experiments Lain,8
253,253.0,Shakugan no Shana,10
254,254.0,Shakugan no Shana II (Second),10
255,255.0,Shakugan no Shana III (Final),10
257,257.0,Shaman King,7
258,258.0,Shigofumi,6
259,259.0,Shigurui,6
260,260.0,Shijou Saikyou no Deshi Kenichi,7
261,261.0,Shiki,9
262,262.0,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7
263,263.0,Shingeki no Kyojin,9
264,264.0,Shinryaku! Ika Musume,8
265,265.0,Shinryaku!? Ika Musume,8
267,267.0,Shokugeki no Souma,9
268,268.0,Shokugeki no Souma: Ni no Sara,8
269,269.0,Shounen Maid,7
271,271.0,Sidonia no Kishi,6
272,272.0,Slayers,9
273,273.0,Slayers Next,8
274,274.0,Slayers Try,8
275,275.0,Sora no Otoshimono,7
276,276.0,Soul Eater,8
277,277.0,Space Dandy,9
279,279.0,Steins;Gate,6
281,281.0,Stranger: Mukou Hadan,6
283,283.0,Suzumiya Haruhi no Yuuutsu,9
284,284.0,Sword Art Online,7
287,287.0,Tales of the Abyss,5
288,288.0,Tamako Love Story,8
290,290.0,Tasogare Otome x Amnesia,7
291,291.0,Tetsuwan Birdy Decode,8
292,292.0,Tetsuwan Birdy Decode:02,8
293,293.0,The Big O,8
294,294.0,Tokyo Ghoul,8
297,297.0,Tonari no Kaibutsu-kun,7
299,299.0,Toradora!,8
