,Unnamed: 0.1.1,Name,Score
0,0.0,Acchi Kocchi (TV),8
2,2.0,Air,9
3,3.0,Air Gear,6
6,6.0,Amagi Brilliant Park,7
9,9.0,Angel Beats!,8
12,12.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,7
13,13.0,Ano Natsu de Matteru,6
14,14.0,Another,7
16,16.0,Ao no Exorcist,5
17,17.0,Ao no Exorcist Movie,5
18,18.0,Azumanga Daioh,7
22,22.0,Baccano!,9
24,24.0,Baka to Test to Shoukanjuu,8
25,25.0,Baka to Test to Shoukanjuu Ni!,7
27,27.0,Beck,7
28,28.0,Binbougami ga!,7
29,29.0,Black Lagoon,8
32,32.0,Black Lagoon: The Second Barrage,8
33,33.0,Boku wa Tomodachi ga Sukunai,7
35,35.0,Boku wa Tomodachi ga Sukunai Next,6
39,39.0,Busou Renkin,4
40,40.0,Byousoku 5 Centimeter,9
42,42.0,Clannad,9
44,44.0,Clannad: After Story,10
47,47.0,D-Frag!,8
49,49.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,4
50,50.0,Danshi Koukousei no Nichijou,7
59,59.0,Digimon Adventure,6
60,60.0,Durarara!!,8
62,62.0,Elfen Lied,6
64,64.0,Fairy Tail,7
65,65.0,Fairy Tail Movie 1: Houou no Miko,6
68,68.0,FLCL,8
69,69.0,Full Metal Panic!,9
70,70.0,Full Metal Panic! The Second Raid,9
72,72.0,Full Metal Panic? Fumoffu,8
73,73.0,Full Moon wo Sagashite,8
75,75.0,Fullmetal Alchemist,8
76,76.0,Fullmetal Alchemist: Brotherhood,10
80,80.0,Fullmetal Alchemist: The Conqueror of Shamballa,8
81,81.0,Fullmetal Alchemist: The Sacred Star of Milos,8
82,82.0,Fushigi no Umi no Nadia,5
83,83.0,Ga-Rei: Zero,7
84,84.0,Genshiken,7
85,85.0,Genshiken 2,8
86,86.0,Genshiken Nidaime,6
89,89.0,Gintama,9
90,90.0,Gintama Movie 1: Shinyaku Benizakura-hen,8
91,91.0,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8
92,92.0,Gintama',9
