,Unnamed: 0.1.1,Name,Score
15,15.0,91 Days,7
22,22.0,Aa! Megami-sama! (TV),6
23,23.0,Accel World,7
28,28.0,Acchi Kocchi (TV),5
31,31.0,Afro Samurai,6
32,32.0,Afro Samurai: Resurrection,6
47,47.0,Akira,9
62,62.0,Angel Beats!,8
71,71.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
72,72.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8
74,74.0,Ano Natsu de Matteru,8
77,77.0,Ao no Exorcist,8
78,78.0,Ao no Exorcist Movie,7
80,80.0,Ao no Exorcist: Kyoto Fujouou-hen,9
87,87.0,Arakawa Under the Bridge,6
106,106.0,Baccano!,8
109,109.0,Baka to Test to Shoukanjuu,8
110,110.0,Baka to Test to Shoukanjuu Ni!,8
115,115.0,Bakemono no Ko,9
116,116.0,Bakemonogatari,8
119,119.0,Bakuman.,10
120,120.0,Bakuman. 2nd Season,10
122,122.0,Bakuman. 3rd Season,9
128,128.0,Beelzebub,7
138,138.0,Binbougami ga!,8
141,141.0,Bishoujo Senshi Sailor Moon,8
143,143.0,Bishoujo Senshi Sailor Moon Crystal Season III,10
146,146.0,Black Lagoon,8
149,149.0,Black Lagoon: The Second Barrage,8
153,153.0,Bleach,10
154,154.0,Bleach Movie 1: Memories of Nobody,8
155,155.0,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,10
156,156.0,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,10
157,157.0,Bleach Movie 4: Jigoku-hen,8
160,160.0,Blood Lad,7
168,168.0,Boku dake ga Inai Machi,9
170,170.0,Boku wa Tomodachi ga Sukunai,7
180,180.0,Break Blade 1: Kakusei no Toki,7
181,181.0,Break Blade 2: Ketsubetsu no Michi,6
182,182.0,Break Blade 3: Kyoujin no Ato,6
183,183.0,Break Blade 4: Sanka no Chi,7
184,184.0,Break Blade 5: Shisen no Hate,6
185,185.0,Break Blade 6: Doukoku no Toride,7
188,188.0,Bungou Stray Dogs,8
189,189.0,Bungou Stray Dogs 2nd Season,8
192,192.0,Byousoku 5 Centimeter,9
208,208.0,Chi's Sweet Home,6
210,210.0,Chi's Sweet Home: Atarashii Ouchi,6
211,211.0,Chihayafuru,8
212,212.0,Chihayafuru 2,7
228,228.0,Chuunibyou demo Koi ga Shitai!,7
235,235.0,Code Geass: Hangyaku no Lelouch,9
240,240.0,Code Geass: Hangyaku no Lelouch R2,9
256,256.0,Cowboy Bebop,7
258,258.0,Cowboy Bebop: Tengoku no Tobira,7
264,264.0,D.Gray-man,10
265,265.0,D.Gray-man Hallow,7
273,273.0,Danna ga Nani wo Itteiru ka Wakaranai Ken,7
274,274.0,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,6
275,275.0,Danshi Koukousei no Nichijou,8
277,277.0,Dareka no Manazashi,9
279,279.0,Darker than Black: Kuro no Keiyakusha,8
282,282.0,Darker than Black: Ryuusei no Gemini,7
288,288.0,Death Billiards,8
289,289.0,Death Note,9
291,291.0,Death Parade,7
320,320.0,Durarara!!,9
322,322.0,Durarara!!x2 Ketsu,8
324,324.0,Durarara!!x2 Shou,9
326,326.0,Durarara!!x2 Ten,8
331,331.0,Elfen Lied,6
337,337.0,Eureka Seven,8
345,345.0,Eve no Jikan (Movie),8
348,348.0,Fairy Tail,8
349,349.0,Fairy Tail (2014),7
350,350.0,Fairy Tail Movie 1: Houou no Miko,7
369,369.0,Fate/stay night,6
370,370.0,Fate/stay night Movie: Unlimited Blade Works,6
372,372.0,Fate/stay night: Unlimited Blade Works,8
374,374.0,Fate/stay night: Unlimited Blade Works 2nd Season,8
376,376.0,Fate/Zero,7
377,377.0,Fate/Zero 2nd Season,8
381,381.0,FLCL,7
382,382.0,Flip Flappers,6
389,389.0,Fullmetal Alchemist,9
390,390.0,Fullmetal Alchemist: Brotherhood,10
395,395.0,Fullmetal Alchemist: The Conqueror of Shamballa,8
396,396.0,Fullmetal Alchemist: The Sacred Star of Milos,7
402,402.0,Fushigi Yuugi,6
411,411.0,Gabriel DropOut,7
412,412.0,Gake no Ue no Ponyo,7
415,415.0,Gangsta.,8
425,425.0,Ghost in the Shell,8
427,427.0,Ghost in the Shell 2: Innocence,7
429,429.0,Gin no Saji,7
430,430.0,Gin no Saji 2nd Season,8
431,431.0,Gintama,10
432,432.0,Gintama Movie 1: Shinyaku Benizakura-hen,9
433,433.0,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,10
435,435.0,Gintama',10
436,436.0,Gintama': Enchousen,10
438,438.0,Gintama.,8
443,443.0,Gintama: Yorinuki Gintama-san on Theater 2D,10
451,451.0,Golden Time,8
455,455.0,Gosick,8
458,458.0,Great Teacher Onizuka,10
461,461.0,Guilty Crown,10
466,466.0,Hachimitsu to Clover,6
471,471.0,Haibane Renmei,7
479,479.0,Hanamonogatari,8
489,489.0,Hataraku Maou-sama!,6
493,493.0,Heisei Tanuki Gassen Ponpoko,5
494,494.0,Hellsing,6
