,Unnamed: 0.1.1,Name,Score
0,0.0,Accel World,8
2,2.0,Air,6
3,3.0,Amagi Brilliant Park,8
4,4.0,Angel Beats!,9
7,7.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
8,8.0,Bakemonogatari,8
9,9.0,Boku dake ga Inai Machi,10
10,10.0,Boku no Hero Academia,9
11,11.0,Boruto: Naruto the Movie,9
13,13.0,Byousoku 5 Centimeter,8
14,14.0,Charlotte,8
15,15.0,Chobits,7
16,16.0,Chuunibyou demo Koi ga Shitai!,7
17,17.0,Clannad,10
18,18.0,Clannad: After Story,10
21,21.0,Code Geass: Hangyaku no Lelouch,10
22,22.0,Code Geass: Hangyaku no Lelouch R2,9
23,23.0,Cowboy Bebop,10
24,24.0,Cowboy Bebop: Tengoku no Tobira,10
25,25.0,Danshi Koukousei no Nichijou,8
26,26.0,Death Note,10
27,27.0,Dragon Ball Z,7
28,28.0,Elfen Lied,8
31,31.0,Fairy Tail,10
32,32.0,Fairy Tail Movie 1: Houou no Miko,7
35,35.0,Fate/stay night,10
36,36.0,Fate/stay night: Unlimited Blade Works,10
38,38.0,Fate/stay night: Unlimited Blade Works 2nd Season,10
39,39.0,Fate/Zero,10
40,40.0,Fate/Zero 2nd Season,10
41,41.0,Final Fantasy VII: Advent Children,10
43,43.0,FLCL,10
44,44.0,Full Metal Panic!,9
45,45.0,Full Metal Panic! The Second Raid,10
46,46.0,Full Metal Panic? Fumoffu,10
47,47.0,Fullmetal Alchemist,9
48,48.0,Fullmetal Alchemist: Brotherhood,10
52,52.0,Gake no Ue no Ponyo,7
53,53.0,Ghost in the Shell,9
54,54.0,Ghost in the Shell: Arise - Border:1 Ghost Pain,8
55,55.0,Ghost in the Shell: Arise - Border:2 Ghost Whispers,8
56,56.0,Ghost in the Shell: Arise - Border:3 Ghost Tears,7
57,57.0,Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,9
58,58.0,Ghost in the Shell: Stand Alone Complex,9
61,61.0,Ghost in the Shell: Stand Alone Complex 2nd GIG,9
62,62.0,Gintama,9
63,63.0,Gintama Movie 1: Shinyaku Benizakura-hen,9
68,68.0,Hanamonogatari,9
70,70.0,Hibike! Euphonium,9
71,71.0,Hibike! Euphonium 2,10
75,75.0,Hikaru no Go,10
77,77.0,Hotaru no Haka,7
78,78.0,Howl no Ugoku Shiro,9
79,79.0,Hunter x Hunter (2011),10
85,85.0,JoJo no Kimyou na Bouken (TV),8
86,86.0,K-On!,6
87,87.0,Kakegurui,8
88,88.0,Kanon (2006),8
90,90.0,Kenpuu Denki Berserk,9
91,91.0,Kill la Kill,8
92,92.0,Kimi no Na wa.,10
93,93.0,Kingsglaive: Final Fantasy XV,8
94,94.0,Kizumonogatari I: Tekketsu-hen,8
95,95.0,Kizumonogatari II: Nekketsu-hen,9
96,96.0,Kizumonogatari III: Reiketsu-hen,9
97,97.0,Koe no Katachi,9
98,98.0,Kono Subarashii Sekai ni Shukufuku wo!,9
99,99.0,Kono Subarashii Sekai ni Shukufuku wo! 2,10
103,103.0,Kuroko no Basket,8
104,104.0,Kuroko no Basket 2nd Season,9
105,105.0,Kuroko no Basket 3rd Season,9
107,107.0,Little Witch Academia (TV),9
108,108.0,Log Horizon,10
109,109.0,Log Horizon 2nd Season,7
111,111.0,Mahou Shoujo Madoka Magica,8
112,112.0,Majo no Takkyuubin,9
114,114.0,Mirai Nikki (TV),9
115,115.0,Monogatari Series: Second Season,9
116,116.0,Mononoke Hime,10
117,117.0,Motto To LOVE-Ru,6
118,118.0,Mushishi,10
120,120.0,Mushishi Zoku Shou,9
121,121.0,Mushishi Zoku Shou 2nd Season,10
123,123.0,Nanatsu no Taizai,9
124,124.0,Naruto,8
128,128.0,Naruto: Shippuuden,9
134,134.0,Naruto: Shippuuden Movie 6 - Road to Ninja,8
135,135.0,Natsume Yuujinchou,8
136,136.0,Nekomonogatari: Kuro,8
137,137.0,Neon Genesis Evangelion,9
138,138.0,Neon Genesis Evangelion: The End of Evangelion,8
139,139.0,NHK ni Youkoso!,9
140,140.0,Nisemonogatari,8
141,141.0,One Punch Man,10
144,144.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7
146,146.0,Ouran Koukou Host Club,8
147,147.0,Owarimonogatari,10
148,148.0,Ping Pong The Animation,8
149,149.0,Pokemon: Maboroshi no Pokemon Lugia Bakutan,7
152,152.0,Re:Zero kara Hajimeru Isekai Seikatsu,9
155,155.0,Saenai Heroine no Sodatekata,8
159,159.0,Samurai Champloo,9
161,161.0,Sen to Chihiro no Kamikakushi,10
162,162.0,Serial Experiments Lain,10
163,163.0,Shigatsu wa Kimi no Uso,9
164,164.0,Shijou Saikyou no Deshi Kenichi,9
165,165.0,Shingeki no Kyojin,8
166,166.0,Shingeki no Kyojin Season 2,8
167,167.0,Shokugeki no Souma,9
169,169.0,Shokugeki no Souma: Ni no Sara,9
171,171.0,Steins;Gate,10
175,175.0,Suzumiya Haruhi no Shoushitsu,10
176,176.0,Suzumiya Haruhi no Yuuutsu,9
178,178.0,Sword Art Online,9
180,180.0,Tengen Toppa Gurren Lagann,10
182,182.0,Tenkuu no Shiro Laputa,7
183,183.0,The Last: Naruto the Movie,8
185,185.0,To LOVE-Ru Darkness,7
186,186.0,To LOVE-Ru Darkness 2nd,7
191,191.0,Toki wo Kakeru Shoujo,9
192,192.0,Tokyo Ghoul,9
194,194.0,Tonari no Totoro,9
195,195.0,Trigun,10
196,196.0,Tsukimonogatari,8
197,197.0,Wolf's Rain,9
200,200.0,Yuu Yuu Hakusho,10
