,Unnamed: 0.1.1,Name,Score
0,0.0,Aho Girl,7
1,1.0,Air,8
8,8.0,Angel Beats!,9
10,10.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
11,11.0,Aoi Bungaku Series,10
13,13.0,Barakamon,8
14,14.0,Berserk: Ougon Jidai-hen I - Haou no Tamago,7
15,15.0,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7
16,16.0,Berserk: Ougon Jidai-hen III - Kourin,7
19,19.0,Boku dake ga Inai Machi,8
22,22.0,Btooom!,6
23,23.0,Charlotte,7
25,25.0,Clannad,10
27,27.0,Clannad: After Story,10
30,30.0,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7
31,31.0,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,7
32,32.0,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,7
33,33.0,Code Geass: Hangyaku no Lelouch,10
34,34.0,Code Geass: Hangyaku no Lelouch R2,10
36,36.0,Cowboy Bebop,9
37,37.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7
38,38.0,Date A Live,7
39,39.0,Date A Live II,4
40,40.0,Death Note,9
43,43.0,ef: A Tale of Memories.,7
44,44.0,Elfen Lied,8
46,46.0,Ergo Proxy,9
47,47.0,Fairy Tail,6
48,48.0,Fullmetal Alchemist: Brotherhood,9
49,49.0,Gabriel DropOut,9
50,50.0,Gake no Ue no Ponyo,10
51,51.0,Gamers!,8
52,52.0,Great Teacher Onizuka,9
53,53.0,Guilty Crown,6
57,57.0,Higurashi no Naku Koro ni,10
58,58.0,Higurashi no Naku Koro ni Kai,10
67,67.0,Kanon (2006),9
71,71.0,Kiseijuu: Sei no Kakuritsu,9
73,73.0,Kono Subarashii Sekai ni Shukufuku wo!,10
74,74.0,Kono Subarashii Sekai ni Shukufuku wo! 2,10
77,77.0,Little Busters!,10
79,79.0,Little Busters!: Refrain,10
80,80.0,Mahou Shoujo Madoka Magica,10
81,81.0,Mirai Nikki (TV),7
82,82.0,Mnemosyne: Mnemosyne no Musume-tachi,6
83,83.0,Monster,9
85,85.0,Naruto,7
87,87.0,NHK ni Youkoso!,10
88,88.0,One Outs,10
90,90.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
94,94.0,Overlord,9
96,96.0,Planetes,8
99,99.0,Prison School,10
101,101.0,Psycho-Pass,9
102,102.0,Psycho-Pass 2,8
104,104.0,Re:Zero kara Hajimeru Isekai Seikatsu,9
105,105.0,Rec,7
108,108.0,Sakamoto desu ga?,8
113,113.0,Shigatsu wa Kimi no Uso,9
114,114.0,Shiki,7
115,115.0,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7
116,116.0,Shingeki no Kyojin,8
117,117.0,Shinsekai yori,10
120,120.0,Steins;Gate,10
122,122.0,Suzumiya Haruhi no Yuuutsu,8
123,123.0,Tanaka-kun wa Itsumo Kedaruge,7
124,124.0,Tokyo Ghoul,6
125,125.0,Tonari no Totoro,10
126,126.0,Toradora!,7
127,127.0,Tsurezure Children,8
129,129.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,10
131,131.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,10
