,Unnamed: 0.1.1,Name,Score
0,0,Akira,6
2,2,Cowboy Bebop,9
4,4,Darker than Black: Kuro no Keiyakusha,8
6,6,Darker than Black: Ryuusei no Gemini,7
7,7,Death Parade,8
8,8,Demi-chan wa Kataritai,7
12,12,Fate/stay night,6
13,13,Fate/stay night Movie: Unlimited Blade Works,8
15,15,Fate/Zero,8
16,16,Fate/Zero 2nd Season,9
17,17,Fullmetal Alchemist,8
18,18,Fullmetal Alchemist: The Conqueror of Shamballa,7
19,19,Initial D First Stage,9
20,20,Initial D Second Stage,8
21,21,Kill la Kill,10
23,23,Kimi no Na wa.,8
24,24,Kono Subarashii Sekai ni Shukufuku wo!,7
25,25,Kono Subarashii Sekai ni Shukufuku wo! 2,7
28,28,Little Witch Academia (TV),8
31,31,No Game No Life,8
32,32,Ookami to Koushinryou,10
33,33,Ookami to Koushinryou II,8
34,34,Re:Zero kara Hajimeru Isekai Seikatsu,7
35,35,ReLIFE,7
36,36,Robotics;Notes,7
37,37,Samurai Champloo,8
38,38,Steins;Gate,10
42,42,Tengen Toppa Gurren Lagann,9
