,Unnamed: 0.1.1,Name,Score
3,3.0,Accel World,7
8,8.0,Aldnoah.Zero,8
14,14.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
15,15.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8
16,16.0,Another,8
17,17.0,Ao Haru Ride,8
21,21.0,Baka to Test to Shoukanjuu,9
27,27.0,Boku dake ga Inai Machi,10
33,33.0,Byousoku 5 Centimeter,8
34,34.0,C: The Money of Soul and Possibility Control,9
52,52.0,Danshi Koukousei no Nichijou,9
90,90.0,Drifters,9
102,102.0,Fate/stay night: Unlimited Blade Works,8
103,103.0,Fate/Zero,9
115,115.0,GJ-bu,8
122,122.0,Grisaia no Kajitsu,10
123,123.0,Guilty Crown,7
124,124.0,Hai to Gensou no Grimgar,8
134,134.0,Hentai Ouji to Warawanai Neko.,8
138,138.0,High School DxD BorN,8
140,140.0,Himouto! Umaru-chan,8
145,145.0,Howl no Ugoku Shiro,7
147,147.0,Hyouka,8
155,155.0,K-On!,10
157,157.0,Kaichou wa Maid-sama!,6
163,163.0,Kimi no Na wa.,10
164,164.0,Kiseijuu: Sei no Kakuritsu,7
171,171.0,Koe no Katachi,10
172,172.0,Kokoro Connect,9
193,193.0,Mayo Chiki!,8
195,195.0,Mirai Nikki (TV),9
201,201.0,Monster,9
211,211.0,Nichijou,9
215,215.0,No Game No Life,10
224,224.0,One Punch Man,9
234,234.0,Ookami Kodomo no Ame to Yuki,9
236,236.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,5
244,244.0,Plastic Memories,8
247,247.0,Re:Zero kara Hajimeru Isekai Seikatsu,7
248,248.0,Rec,8
253,253.0,Sakurasou no Pet na Kanojo,8
264,264.0,Sen to Chihiro no Kamikakushi,9
265,265.0,Servant x Service,8
267,267.0,Shigatsu wa Kimi no Uso,9
273,273.0,Shinsekai yori,9
317,317.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
318,318.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,7
324,324.0,Zankyou no Terror,8
