,Name,Rating,Popularity,Studio,Type,Genres,Era
67,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.57,572635.0,A-1 Pictures,TV,Slice of Life/Supernatural/Drama,New
68,Hotarubi no Mori e,8.57,260779.0,Brain's Base,Movie,Drama/Romance/Shoujo/Supernatural,New
69,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8.57,144438.0,David Production,TV,Action/Adventure/Drama/Shounen/Supernatural,New
71,Kuroko no Basket 3rd Season,8.57,241970.0,Production I.G,TV,Comedy/Sports/School/Shounen,New
72,Uchuu Kyoudai,8.57,87157.0,A-1 Pictures,TV,Comedy/Sci-Fi/Seinen/Slice of Life/Space,New
73,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.56,134613.0,Production I.G,TV,Action/Military/Sci-Fi/Mystery/Police/Mecha/Seinen,Classic
74,Hotaru no Haka,8.56,211644.0,Studio Ghibli,Movie,Drama/Historical,Old
75,Shokugeki no Souma,8.56,486119.0,J.C.Staff,TV,Ecchi/School/Shounen,New
76,Ashita no Joe 2,8.55,9023.0,Tokyo Movie Shinsha,TV,Action/Drama/Shounen/Slice of Life/Sports,Old
78,Major S5,8.55,33648.0,SynergySP,TV,Comedy/Drama/Romance/Sports,New
79,One Piece,8.55,616862.0,Toei Animation,TV,Action/Adventure/Comedy/Super Power/Drama/Fantasy/Shounen,Classic
80,Slam Dunk,8.55,99744.0,Toei Animation,TV,Comedy/Sports/Drama/School/Shounen,Old
81,Gintama: Yorinuki Gintama-san on Theater 2D,8.54,15210.0,Sunrise,Movie,Action/Sci-Fi/Comedy/Historical/Parody/Samurai/Shounen,New
82,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.54,109258.0,ufotable,Movie,Action/Mystery/Supernatural/Romance/Thriller,New
83,Kiseijuu: Sei no Kakuritsu,8.54,562472.0,Madhouse,TV,Action/Sci-Fi/Horror/Psychological/Drama/Seinen,New
85,Shingeki no Kyojin Season 2,8.54,475098.0,Wit Studio,TV,Action/Super Power/Drama/Fantasy/Shounen,New
86,Usagi Drop,8.54,235320.0,Production I.G,TV,Josei/Slice of Life,New
87,Bakemono no Ko,8.53,131787.0,Studio Chizu,Movie,Adventure/Supernatural,New
88,Kingdom 2nd Season,8.53,39421.0,Studio Pierrot,TV,Action/Military/Historical/Seinen,New
89,Kuroko no Basket 2nd Season,8.53,303782.0,Production I.G,TV,Comedy/Sports/School/Shounen,New
90,Mob Psycho 100,8.53,359952.0,Bones,TV,Action/Slice of Life/Comedy/Supernatural,New
92,Nana,8.52,234197.0,Madhouse,TV,Comedy/Drama/Music/Romance/Shoujo/Slice of Life,Classic
93,Nichijou,8.52,320827.0,Kyoto Animation,TV,Slice of Life/Comedy/School,New
94,Shingeki no Kyojin,8.52,1142066.0,Wit Studio,TV,Action/Drama/Fantasy/Shounen/Super Power,New
95,Baccano!,8.51,428416.0,Brain's Base,TV,Action/Mystery/Comedy/Historical/Supernatural,New
96,Cross Game,8.51,62941.0,SynergySP,TV,Comedy/Drama/Romance/School/Sports,New
98,Shinsekai yori,8.51,352186.0,A-1 Pictures,TV,Sci-Fi/Mystery/Horror/Psychological/Supernatural/Drama,New
99,Bakuman. 2nd Season,8.5,179873.0,J.C.Staff,TV,Comedy/Drama/Romance/Shounen,New
100,Samurai Champloo,8.5,473349.0,Manglobe,TV,Action/Adventure/Comedy/Historical/Samurai/Shounen,Classic
101,Chihayafuru 2,8.49,102039.0,Madhouse,TV,Game/Slice of Life/Sports/Drama/Josei,New
103,Re:Zero kara Hajimeru Isekai Seikatsu,8.49,565435.0,White Fox,TV,Psychological/Drama/Thriller/Fantasy,New
105,Barakamon,8.48,284089.0,Kinema Citrus,TV,Comedy/Slice of Life,New
107,No Game No Life: Zero,8.48,112277.0,Madhouse,Movie,Game/Comedy/Supernatural/Ecchi/Fantasy,New
109,Doukyuusei (Movie),8.47,51990.0,A-1 Pictures,Movie,Slice of Life/Romance/School/Shounen Ai,New
110,Evangelion: 2.0 You Can (Not) Advance,8.47,211691.0,Khara,Movie,Action/Sci-Fi/Mecha,New
111,Fate/Zero,8.47,571052.0,ufotable,TV,Action/Supernatural/Fantasy,New
112,Hunter x Hunter,8.47,199440.0,Nippon Animation,TV,Action/Adventure/Shounen/Super Power,Classic
114,Magi: The Kingdom of Magic,8.47,314934.0,A-1 Pictures,TV,Action/Adventure/Fantasy/Magic/Shounen,New
115,Major S6,8.47,29181.0,SynergySP,TV,Comedy/Drama/Sports,New
117,Mononoke,8.47,109556.0,Toei Animation,TV,Mystery/Historical/Horror/Demons/Supernatural/Fantasy/Seinen,New
118,Psycho-Pass,8.47,642052.0,Production I.G,TV,Action/Police/Psychological/Sci-Fi,New
119,Shirobako,8.47,190764.0,P.A. Works,TV,Comedy/Drama,New
121,Ghost in the Shell: Stand Alone Complex,8.46,228862.0,Production I.G,TV,Action/Military/Sci-Fi/Police/Mecha/Seinen,Classic
122,Katanagatari,8.46,251115.0,White Fox,TV,Action/Adventure/Historical/Martial Arts/Romance,New
124,Shokugeki no Souma: Ni no Sara,8.46,292588.0,J.C.Staff,TV,Ecchi/School/Shounen,New
125,Tonari no Totoro,8.46,343958.0,Studio Ghibli,Movie,Adventure/Comedy/Supernatural,Old
126,Diamond no Ace: Second Season,8.45,49559.0,Production I.G,TV,Comedy/Sports/School/Shounen,New
127,Girls und Panzer der Film,8.45,36537.0,Actas,Movie,Military/School,New
128,JoJo no Kimyou na Bouken (TV),8.45,269655.0,David Production,TV,Action/Adventure/Supernatural/Vampire/Shounen,New
129,Kemono no Souja Erin,8.45,43732.0,Production I.G,TV,Slice of Life/Drama/Fantasy,New
130,Kino no Tabi: The Beautiful World,8.45,121198.0,A.C.G.T.,TV,Action/Adventure/Slice of Life/Psychological,Classic
131,Neon Genesis Evangelion: The End of Evangelion,8.45,257070.0,Gainax,Movie,Sci-Fi/Dementia/Psychological/Drama/Mecha,Classic
132,Sakamichi no Apollon,8.45,173046.0,Tezuka Productions,TV,Drama/Josei/Music/Romance/School,New
134,Kizumonogatari I: Tekketsu-hen,8.44,152779.0,Shaft,Movie,Mystery/Supernatural/Vampire,New
135,Noragami Aragoto,8.44,434016.0,Bones,TV,Action/Adventure/Shounen/Supernatural,New
136,Ookami to Koushinryou II,8.44,246904.0,Brain's Base,TV,Adventure/Historical/Romance/Fantasy,New
137,Owarimonogatari,8.44,154411.0,Shaft,TV,Mystery/Comedy/Supernatural,New
138,Romeo no Aoi Sora,8.44,18786.0,Nippon Animation,TV,Adventure/Drama/Historical/Slice of Life,Classic
140,Fate/stay night: Unlimited Blade Works 2nd Season,8.43,276525.0,ufotable,TV,Action/Supernatural/Magic/Fantasy/Shounen,New
141,Kenpuu Denki Berserk,8.43,275087.0,OLM,TV,Action/Adventure/Demons/Drama/Fantasy/Horror/Military/Romance/Seinen/Supernatural,Classic
142,No Game No Life,8.43,800356.0,Madhouse,TV,Game/Adventure/Comedy/Supernatural/Ecchi/Fantasy,New
143,Nodame Cantabile,8.43,181349.0,J.C.Staff,TV,Music/Slice of Life/Comedy/Drama/Romance/Josei,New
144,Made in Abyss,8.43,103792.0,Kinema Citrus,TV,Sci-Fi/Adventure/Mystery/Drama/Fantasy,New
145,Rurouni Kenshin: Meiji Kenkaku Romantan,8.42,250661.0,Studio Gallop,TV,Action/Adventure/Comedy/Historical/Romance/Samurai,Classic
146,Stranger: Mukou Hadan,8.42,151611.0,Bones,Movie,Action/Adventure/Historical/Samurai,New
147,Toradora!,8.42,785557.0,J.C.Staff,TV,Slice of Life/Comedy/Romance/School,New
148,Boku no Hero Academia,8.41,531155.0,Bones,TV,Action/Comedy/School/Shounen/Super Power,New
149,Cowboy Bebop: Tengoku no Tobira,8.41,160291.0,Bones,Movie,Action/Space/Drama/Mystery/Sci-Fi,Classic
150,Detective Conan Movie 06: The Phantom of Baker Street,8.41,33750.0,TMS Entertainment,Movie,Adventure/Mystery/Police/Shounen,Classic
151,Kuroko no Basket,8.41,419559.0,Production I.G,TV,Comedy/School/Shounen/Sports,New
155,Natsume Yuujinchou,8.4,256403.0,Brain's Base,TV,Slice of Life/Supernatural/Drama/Fantasy/Shoujo,New
156,One Outs,8.4,101336.0,Madhouse,TV,Sports/Psychological/Seinen,New
158,Kuroko no Basket: Last Game,8.38,44046.0,Production I.G,Movie,Sports/School/Shounen,New
159,Major S1,8.39,47726.0,Studio Hibari,TV,Comedy/Sports/Drama/Shounen,Classic
161,NHK ni Youkoso!,8.39,342184.0,Gonzo,TV,Comedy/Psychological/Drama/Romance,Classic
163,Toki wo Kakeru Shoujo,8.39,357989.0,Madhouse,Movie,Sci-Fi/Adventure/Drama/Romance,Classic
164,Tsuki ga Kirei,8.39,109237.0,feel.,TV,Romance/School,New
165,Versailles no Bara,8.39,38685.0,Tokyo Movie Shinsha,TV,Military/Adventure/Historical/Drama/Romance/Shoujo,Old
166,Beck,8.38,168604.0,Madhouse,TV,Comedy/Drama/Music/Shounen/Slice of Life,Classic
167,Major S2,8.38,35569.0,Studio Hibari,TV,Comedy/Drama/Shounen/Sports,Classic
168,Major S3,8.38,34240.0,Studio Hibari,TV,Drama/Shounen/Sports,New
169,Tenkuu no Shiro Laputa,8.38,180536.0,Studio Ghibli,Movie,Adventure/Fantasy/Romance/Sci-Fi,Old
170,Bakemonogatari,8.37,582333.0,Shaft,TV,Mystery/Supernatural/Romance/Vampire,New
171,Detective Conan Movie 13: The Raven Chaser,8.37,26014.0,Tokyo Movie Shinsha,Movie,Action/Police/Mystery/Shounen,New
172,Fate/stay night: Unlimited Blade Works,8.37,351329.0,ufotable,TV,Action/Supernatural/Magic/Fantasy/Shounen,New
174,Higurashi no Naku Koro ni Kai,8.37,247685.0,Studio Deen,TV,Mystery/Psychological/Supernatural/Thriller,New
177,One Piece Film: Strong World,8.37,101347.0,Toei Animation,Movie,Action/Adventure/Comedy/Drama/Fantasy/Shounen,New
178,Planetes,8.37,123464.0,Sunrise,TV,Drama/Romance/Sci-Fi/Seinen/Space,Classic
180,Kono Subarashii Sekai ni Shukufuku wo! 2,8.36,296532.0,Studio Deen,TV,Adventure/Comedy/Supernatural/Magic/Fantasy,New
181,Nodame Cantabile Finale,8.36,77668.0,J.C.Staff,TV,Comedy/Josei/Music/Romance,New
182,Ouran Koukou Host Club,8.36,488147.0,Bones,TV,Comedy/Harem/Romance/School/Shoujo,Classic
183,Sakurasou no Pet na Kanojo,8.36,478126.0,J.C.Staff,TV,Comedy/Drama/Romance/School/Slice of Life,New
184,Bungou Stray Dogs 2nd Season,8.35,160499.0,Bones,TV,Mystery/Supernatural/Seinen,New
185,Gin no Saji 2nd Season,8.35,78803.0,A-1 Pictures,TV,Comedy/School/Shounen/Slice of Life,New
186,Hachimitsu to Clover II,8.35,67304.0,J.C.Staff,TV,Drama/Josei/Romance/Slice of Life,Classic
187,Kuroshitsuji: Book of Circus,8.35,154034.0,A-1 Pictures,TV,Comedy/Demons/Fantasy/Historical/Shounen/Supernatural,New
188,One Piece Film: Z,8.35,94679.0,Toei Animation,Movie,Action/Adventure/Comedy/Drama/Fantasy/Shounen,New
189,Ookami to Koushinryou,8.35,395178.0,Imagin,TV,Adventure/Fantasy/Historical/Romance,New
190,Angel Beats!,8.34,880062.0,P.A. Works,TV,Action/Comedy/Drama/School/Supernatural,New
191,Danshi Koukousei no Nichijou,8.34,322432.0,Sunrise,TV,Slice of Life/Comedy/School,New
192,Ghost in the Shell,8.34,286177.0,Production I.G,Movie,Action/Sci-Fi/Police/Psychological/Mecha/Seinen,Classic
193,InuYasha: Kanketsu-hen,8.34,118022.0,Sunrise,TV,Action/Adventure/Comedy/Demons/Supernatural/Magic/Romance/Fantasy/Shounen,New
194,K-On! Movie,8.34,135291.0,Kyoto Animation,Movie,Music/Slice of Life/Comedy,New
195,Kaguya-hime no Monogatari,8.34,62013.0,Studio Ghibli,Movie,Historical/Fantasy,New
196,Kono Sekai no Katasumi ni,8.34,25362.0,MAPPA,Movie,Historical/Drama,New
197,Little Busters!: Refrain,8.34,85462.0,J.C.Staff,TV,Comedy/Drama/Romance/School/Slice of Life/Supernatural,New
200,SKET Dance,8.34,117262.0,Tatsunoko Production,TV,Comedy/School/Shounen,New
201,3-gatsu no Lion,8.33,127007.0,Shaft,TV,Game/Slice of Life/Drama/Seinen,New
202,Bakuman.,8.33,294942.0,J.C.Staff,TV,Comedy/Romance/Shounen,New
203,Durarara!!,8.33,663135.0,Brain's Base,TV,Action/Mystery/Supernatural,New
204,Katekyo Hitman Reborn!,8.33,299859.0,Artland,TV,Action/Comedy/Shounen/Super Power,Classic
205,Major S4,8.33,32471.0,SynergySP,TV,Sports/Comedy/Drama/Shounen,New
206,Nanatsu no Taizai,8.33,480498.0,A-1 Pictures,TV,Action/Adventure/Supernatural/Ecchi/Fantasy/Shounen,New
207,Redline,8.33,134631.0,Madhouse,Movie,Action/Sci-Fi/Cars/Sports,New
208,Sennen Joyuu,8.33,69830.0,Madhouse,Movie,Action/Adventure/Historical/Drama/Romance/Fantasy,Classic
209,Berserk: Ougon Jidai-hen III - Kourin,8.32,83744.0,Studio 40C,Movie,Action/Adventure/Demons/Drama/Fantasy/Horror/Military/Seinen/Supernatural,New
210,Detective Conan Movie 20: The Darkest Nightmare,8.32,11039.0,TMS Entertainment,Movie,Action/Mystery/Police/Shounen,New
212,Gyakkyou Burai Kaiji: Ultimate Survivor,8.32,124118.0,Madhouse,TV,Game/Psychological/Seinen/Thriller,New
213,Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen,8.32,85840.0,Kyoto Animation,Movie,Fantasy/Slice of Life/Supernatural,New
216,xxxHOLiC Kei,8.32,82960.0,Production I.G,TV,Mystery/Comedy/Psychological/Supernatural/Drama,New
217,Dragon Ball Z,8.31,456764.0,Toei Animation,TV,Action/Adventure/Comedy/Fantasy/Martial Arts/Shounen/Super Power,Old
218,Fullmetal Alchemist,8.31,702410.0,Bones,TV,Action/Adventure/Comedy/Drama/Fantasy/Magic/Military/Shounen,Classic
220,Mimi wo Sumaseba,8.31,113873.0,Studio Ghibli,Movie,Adventure/Slice of Life/Drama/Romance/Fantasy/Shoujo,Classic
221,Neon Genesis Evangelion,8.31,554775.0,Gainax,TV,Action/Sci-Fi/Dementia/Psychological/Drama/Mecha,Classic
222,Omoide no Marnie,8.31,77998.0,Studio Ghibli,Movie,Mystery/Psychological/Drama,New
223,Tokyo Godfathers,8.31,108172.0,Madhouse,Movie,Comedy/Drama,Classic
224,Trigun,8.31,331460.0,Madhouse,TV,Action/Comedy/Sci-Fi,Classic
226,Chihayafuru,8.3,190168.0,Madhouse,TV,Game/Slice of Life/Sports/Drama/Josei,New
227,Initial D Final Stage,8.3,29647.0,SynergySP,TV,Cars/Seinen/Sports,New
228,Kotonoha no Niwa,8.3,259378.0,CoMix Wave Films,Movie,Slice of Life/Psychological/Drama/Romance,New
230,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.3,14932.0,Seven Arcs,Movie,Action/Comedy/Super Power/Drama/Magic,New
232,Death Parade,8.29,527997.0,Madhouse,TV,Game/Mystery/Psychological/Drama/Thriller,New
233,Hibike! Euphonium 2,8.29,81292.0,Kyoto Animation,TV,Music/Drama/School,New
235,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.29,297896.0,feel.,TV,Comedy/Drama/Romance/School,New
236,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.29,4458.0,Studio Gokumi,Movie,Drama/Fantasy/Magic/Slice of Life,New
237,Aria The Natural,8.28,44308.0,Hal Film Maker,TV,Fantasy/Sci-Fi/Shounen/Slice of Life,Classic
238,Black Lagoon: The Second Barrage,8.28,235579.0,Madhouse,TV,Action/Seinen,Classic
239,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.28,67360.0,Madhouse,Movie,Comedy/Drama/Magic/Romance/Fantasy/Shoujo,Classic
240,Detective Conan Movie 14: The Lost Ship in the Sky,8.28,24696.0,Tokyo Movie Shinsha,Movie,Action/Mystery/Police/Shounen,New
241,Gyakkyou Burai Kaiji: Hakairoku-hen,8.28,69835.0,Madhouse,TV,Game/Psychological/Thriller/Seinen,New
244,Majo no Takkyuubin,8.28,186737.0,Studio Ghibli,Movie,Adventure/Comedy/Drama/Magic/Romance/Fantasy,Old
246,Perfect Blue,8.28,150665.0,Madhouse,Movie,Dementia/Horror/Psychological/Drama,Classic
249,Initial D First Stage,8.27,92532.0,Studio Gallop,TV,Action/Cars/Drama/Seinen/Sports,Classic
250,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.27,43010.0,Sunrise,TV,Action/Sci-Fi/Space/Drama/Mecha,New
251,Nagi no Asukara,8.27,273020.0,P.A. Works,TV,Drama/Fantasy/Romance,New
252,Ashita no Joe,8.26,21094.0,Mushi Production,TV,Action/Drama/Shounen/Slice of Life/Sports,Old
254,Detective Conan,8.26,137156.0,TMS Entertainment,TV,Adventure/Comedy/Mystery/Police/Shounen,Classic
255,Kaiba,8.26,67669.0,Madhouse,TV,Adventure/Mystery/Romance/Sci-Fi,New
256,Sekaiichi Hatsukoi 2,8.26,81261.0,Studio Deen,TV,Comedy/Drama/Romance/Shounen Ai,New
257,Skip Beat!,8.26,151934.0,Hal Film Maker,TV,Comedy/Drama/Romance/Shoujo,New
258,Yowamushi Pedal: Grande Road,8.26,63644.0,TMS Entertainment,TV,Comedy/Drama/Shounen/Sports,New
259,Clannad,8.25,662195.0,Kyoto Animation,TV,Comedy/Drama/Romance/School/Slice of Life/Supernatural,New
260,Detective Conan Movie 05: Countdown to Heaven,8.25,29679.0,TMS Entertainment,Movie,Adventure/Police/Comedy/Mystery/Shounen,Classic
261,Kami nomi zo Shiru Sekai: Megami-hen,8.25,169244.0,Manglobe,TV,Harem/Comedy/Supernatural/Romance/Shounen,New
262,Maison Ikkoku,8.25,26871.0,Studio Deen,TV,Comedy/Drama/Romance/Slice of Life,Old
263,Nodame Cantabile: Paris-hen,8.25,79592.0,J.C.Staff,TV,Music/Slice of Life/Comedy/Romance/Josei,New
264,Summer Wars,8.25,266989.0,Madhouse,Movie,Sci-Fi/Comedy,New
265,Yuri!!! on Ice,8.25,221913.0,MAPPA,TV,Comedy/Sports,New
267,Gankutsuou,8.24,119340.0,Gonzo,TV,Drama/Mystery/Sci-Fi/Supernatural/Thriller,Classic
268,Initial D Fourth Stage,8.24,53281.0,A.C.G.T.,TV,Action/Cars/Sports/Drama/Seinen,Classic
269,JoJo no Kimyou na Bouken: Stardust Crusaders,8.24,175171.0,David Production,TV,Action/Adventure/Supernatural/Drama/Shounen,New
270,Non Non Biyori Repeat,8.24,80411.0,Silver Link.,TV,Comedy/School/Seinen/Slice of Life,New
272,Darker than Black: Kuro no Keiyakusha,8.23,509934.0,Bones,TV,Action/Sci-Fi/Mystery/Super Power,New
273,Detective Conan Movie 08: Magician of the Silver Sky,8.23,26944.0,TMS Entertainment,Movie,Adventure/Mystery/Comedy/Police/Shounen,Classic
274,Kaichou wa Maid-sama!,8.23,470584.0,J.C.Staff,TV,Comedy/Romance/School/Shoujo,New
275,Kokoro ga Sakebitagatterunda.,8.23,100752.0,A-1 Pictures,Movie,Drama/Romance/School,New
276,Kuragehime,8.23,122858.0,Brain's Base,TV,Slice of Life/Comedy/Josei,New
278,Mobile Suit Gundam 00,8.23,133379.0,Sunrise,TV,Action/Military/Sci-Fi/Space/Drama/Mecha,New
279,Osomatsu-san,8.23,81111.0,Studio Pierrot,TV,Comedy/Parody,New
280,Shijou Saikyou no Deshi Kenichi,8.23,151109.0,TMS Entertainment,TV,Action/Comedy/Martial Arts/School/Shounen,Classic
281,Tsumiki no Ie,8.23,52701.0,Oh! Production,Movie,Drama,New
282,Uchouten Kazoku 2,8.23,26607.0,P.A. Works,TV,Slice of Life/Comedy/Drama/Fantasy,New
283,Zankyou no Terror,8.23,438247.0,MAPPA,TV,Psychological/Thriller,New
284,Detective Conan Movie 10: Requiem of the Detectives,8.22,25686.0,TMS Entertainment,Movie,Adventure/Police/Comedy/Mystery/Shounen,Classic
285,Diamond no Ace,8.22,97602.0,Production I.G,TV,Comedy/School/Shounen/Sports,New
287,Kingdom,8.22,66813.0,Studio Pierrot,TV,Action/Historical/Military/Seinen,New
288,Kobayashi-san Chi no Maid Dragon,8.22,236169.0,Kyoto Animation,TV,Slice of Life/Comedy/Fantasy,New
289,Magi: The Labyrinth of Magic,8.22,400589.0,A-1 Pictures,TV,Action/Adventure/Fantasy/Magic/Shounen,New
290,Princess Tutu,8.22,84121.0,Hal Film Maker,TV,Comedy/Fantasy/Magic/Romance,Classic
292,Seirei no Moribito,8.22,122322.0,Production I.G,TV,Action/Adventure/Historical/Fantasy,New
293,Tengen Toppa Gurren Lagann Movie: Gurren-hen,8.22,83932.0,Gainax,Movie,Action/Comedy/Mecha,New
296,Akatsuki no Yona,8.21,286438.0,Studio Pierrot,TV,Action/Adventure/Comedy/Fantasy/Romance/Shoujo,New
297,Ansatsu Kyoushitsu (TV),8.21,452291.0,Lerche,TV,Action/Comedy/School/Shounen,New
298,Durarara!!x2 Ketsu,8.21,153473.0,Shuka,TV,Action/Mystery/Supernatural,New
299,Eve no Jikan (Movie),8.21,76684.0,Studio Rikka,Movie,Sci-Fi/Slice of Life,New
300,Gosick,8.21,273509.0,Bones,TV,Mystery/Historical/Drama/Romance,New
302,Kaze Tachinu,8.21,96959.0,Studio Ghibli,Movie,Drama/Historical/Romance,New
303,Nisemonogatari,8.21,315902.0,Shaft,TV,Mystery/Comedy/Supernatural,New
305,Shoujo Kakumei Utena,8.21,92310.0,J.C.Staff,TV,Mystery/Psychological/Drama/Fantasy/Shoujo,Classic
306,Sword Art Online Movie: Ordinal Scale,8.21,132137.0,A-1 Pictures,Movie,Action/Game/Adventure/Romance/Fantasy,New
308,Detective Conan Movie 18: The Sniper from Another Dimension,8.2,15857.0,TMS Entertainment,Movie,Action/Mystery/Police/Shounen,New
310,Glass no Kamen (2005),8.2,20098.0,Tokyo Movie Shinsha,TV,Drama/Shoujo,Classic
311,Kill la Kill,8.2,644378.0,Trigger,TV,Action/Comedy/Super Power/Ecchi/School,New
312,Tsukimonogatari,8.2,149064.0,Shaft,TV,Mystery/Comedy/Supernatural,New
313,Cardcaptor Sakura,8.19,208349.0,Madhouse,TV,Adventure/Comedy/Drama/Magic/Romance/Fantasy/School/Shoujo,Classic
315,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.19,14390.0,Magic Bus,Movie,Action/Space/Military/Drama/Sci-Fi,Old
319,Lupin III: Cagliostro no Shiro,8.19,38829.0,add some,Movie,Adventure/Comedy/Shounen,Old
320,Mobile Suit Gundam 00 Second Season,8.19,95474.0,Sunrise,TV,Action/Military/Sci-Fi/Space/Drama/Mecha,New
321,One Piece Film: Gold,8.19,42619.0,Toei Animation,Movie,Action/Adventure/Comedy/Drama/Fantasy/Shounen,New
322,Sakasama no Patema,8.19,117302.0,Studio Rikka,Movie,Sci-Fi/Seinen,New
323,Baby Steps 2nd Season,8.18,45434.0,Studio Pierrot,TV,Sports/Romance/School/Shounen,New
324,Evangelion: 1.0 You Are (Not) Alone,8.18,224193.0,Khara,Movie,Action/Sci-Fi/Mecha,New
325,Fairy Tail (2014),8.18,335141.0,A-1 Pictures,TV,Action/Adventure/Comedy/Magic/Fantasy/Shounen,New
326,Full Metal Panic? Fumoffu,8.18,187976.0,Kyoto Animation,TV,Action/Comedy/School,Classic
327,Gekkan Shoujo Nozaki-kun,8.18,365891.0,Doga Kobo,TV,Comedy/Romance/School,New
329,Hikaru no Go,8.18,77529.0,Studio Pierrot,TV,Comedy/Game/Shounen/Supernatural,Classic
330,Junjou Romantica 2,8.18,99806.0,Studio Deen,TV,Comedy/Drama/Romance/Shounen Ai,New
331,Kara no Kyoukai 3: Tsuukaku Zanryuu,8.18,122811.0,ufotable,Movie,Action/Mystery/Supernatural/Drama/Thriller,New
332,Little Witch Academia (TV),8.18,164054.0,Trigger,TV,Adventure/Comedy/Magic/Fantasy/School,New
333,Magi: Sinbad no Bouken (TV),8.18,119946.0,Lay-duce,TV,Action/Adventure/Fantasy/Magic/Shounen,New
334,Saiunkoku Monogatari 2nd Season,8.18,25675.0,Madhouse,TV,Adventure/Comedy/Drama/Fantasy/Historical/Romance,New
335,D.Gray-man,8.17,383607.0,TMS Entertainment,TV,Action/Adventure/Comedy/Shounen,Classic
336,Dennou Coil,8.17,87205.0,Madhouse,TV,Adventure/Comedy/Drama/Mystery/Sci-Fi,New
337,Detective Conan Movie 21: The Crimson Love Letter,8.16,5730.0,TMS Entertainment,Movie,Action/Mystery/Historical/Police/Drama/Romance,New
338,Eureka Seven,8.17,275208.0,Bones,TV,Sci-Fi/Adventure/Drama/Romance/Mecha,Classic
340,Gin no Saji,8.17,140669.0,A-1 Pictures,TV,Comedy/School/Shounen/Slice of Life,New
344,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8.17,28936.0,Studio Deen,Movie,Comedy/Drama/Romance/Shounen Ai,New
345,Tokyo Magnitude 8.0,8.17,144306.0,Bones,TV,Drama,New
346,Detective Conan Movie 04: Captured in Her Eyes,8.16,29674.0,TMS Entertainment,Movie,Adventure/Mystery/Comedy/Police/Shounen,Classic
348,Hyouka,8.16,457957.0,Kyoto Animation,TV,Mystery/School/Slice of Life,New
349,Kodomo no Omocha (TV),8.16,31688.0,Studio Gallop,TV,Comedy/Drama/Romance/Shoujo,Classic
350,Noragami,8.16,695970.0,Bones,TV,Action/Adventure/Supernatural/Shounen,New
351,Ookiku Furikabutte: Natsu no Taikai-hen,8.16,25071.0,A-1 Pictures,TV,Comedy/Sports,New
352,Persona 3 the Movie 4: Winter of Rebirth,8.16,21148.0,A-1 Pictures,Movie,Action/Supernatural/Fantasy,New
353,ReLIFE,8.16,313824.0,TMS Entertainment,TV,Slice of Life/Romance/School,New
354,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.16,4190.0,TYO Animations,Movie,Comedy/Drama/Slice of Life,New
356,Youjo Senki,8.16,189890.0,NUT,TV,Military/Magic,New
357,Akira,8.15,264250.0,Tokyo Movie Shinsha,Movie,Action/Military/Sci-Fi/Adventure/Horror/Supernatural,Old
358,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8.15,116414.0,A-1 Pictures,Movie,Slice of Life/Supernatural/Drama,New
359,Black Lagoon,8.15,396784.0,Madhouse,TV,Action/Seinen,Classic
360,Detective Conan Movie 03: The Last Wizard of the Century,8.15,31192.0,TMS Entertainment,Movie,Adventure/Mystery/Comedy/Police/Shounen,Classic
361,Dragon Ball,8.15,381362.0,Toei Animation,TV,Adventure/Comedy/Super Power/Martial Arts/Fantasy/Shounen,Old
362,Hachimitsu to Clover,8.15,147427.0,J.C.Staff,TV,Comedy/Drama/Josei/Romance/Slice of Life,Classic
363,Initial D Fifth Stage,8.15,36580.0,SynergySP,TV,Action/Cars/Sports/Drama/Seinen,New
364,Initial D Second Stage,8.15,59415.0,Pastel,TV,Action/Cars/Sports/Drama/Seinen,Classic
365,Juuni Kokuki,8.15,75726.0,Studio Pierrot,TV,Action/Adventure/Fantasy/Magic/Supernatural,Classic
366,Kimi ni Todoke,8.15,369930.0,Production I.G,TV,Slice of Life/Romance/School/Shoujo,New
368,Naruto: Shippuuden,8.15,668568.0,Studio Pierrot,TV,Action/Comedy/Super Power/Martial Arts/Shounen,New
370,Working!!!,8.15,105888.0,A-1 Pictures,TV,Slice of Life/Comedy/Romance,New
371,Akagami no Shirayuki-hime 2nd Season,8.14,114246.0,Bones,TV,Drama/Romance/Fantasy/Shoujo,New
373,Detective Conan Movie 15: Quarter of Silence,8.14,20632.0,add some,Movie,Adventure/Comedy/Mystery/Police/Shounen,New
