,Name,Rating,Popularity,Studio,Type,Genres,Era
1848,Gatchaman Crowds Insight,7.43,47517.0,Tatsunoko Production,TV,Sci-Fi/Adventure,New
1849,Ginga Kikoutai Majestic Prince,7.43,39003.0,Doga Kobo,TV,Action/Mecha/School/Sci-Fi/Seinen/Space,New
1850,Hana to Alice: Satsujin Jiken,7.43,13763.0,Steve N' Steven,Movie,Slice of Life/Mystery/Drama,New
1851,Happy Birthday: Inochi Kagayaku Toki,7.43,1615.0,add some,Movie,Drama/Kids/Slice of Life,Classic
1852,"Hetalia Axis Powers Movie: Paint it, White",7.43,40666.0,Studio Deen,Movie,Comedy/Historical/Parody,New
1855,Mahoraba: Heartful days,7.43,17831.0,J.C.Staff,TV,Comedy/Drama/Romance/Shounen,Classic
1857,Maoyuu Maou Yuusha,7.43,197040.0,Arms,TV,Adventure/Demons/Fantasy/Historical/Romance,New
1858,Mazinger Z,7.43,6910.0,Toei Animation,TV,Action/Sci-Fi/Drama/Mecha/Shounen,Old
1859,Nanbaka,7.43,101529.0,Satelight,TV,Action/Comedy/Drama,New
1862,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,7.43,37036.0,Toei Animation,Movie,Adventure/Comedy/Fantasy/Shounen,Classic
1863,One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,7.43,35557.0,Toei Animation,Movie,Action/Adventure/Fantasy/Shounen,New
1865,Rekka no Honoo,7.43,38866.0,Studio Pierrot,TV,Action/Adventure/Martial Arts/Shounen/Super Power,Classic
1866,Rozen Maiden (2013),7.43,51078.0,Studio Deen,TV,Action/Comedy/Drama/Magic/Seinen,New
1870,Sentou Mecha Xabungle,7.43,1814.0,Sunrise,TV,Military/Sci-Fi/Mecha/Shounen,Old
1871,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,7.43,9211.0,Xebec,Movie,Action/Drama/Mecha/Military/Sci-Fi,New
1872,Steamboy,7.43,45910.0,Studio 40C,Movie,Action/Military/Sci-Fi/Adventure/Historical/Drama,Classic
1874,Trinity Seven,7.43,282622.0,Seven Arcs Pictures,TV,Action/Harem/Comedy/Supernatural/Magic/Romance/Ecchi/Fantasy/School/Shounen,New
1877,Atashin'chi,7.42,1784.0,Shin-Ei Animation,TV,Comedy/Slice of Life,Classic
1878,Bamboo Blade,7.42,66161.0,AIC A.S.T.A.,TV,Comedy/School/Seinen/Sports,New
1880,Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,7.42,1510.0,add some,Movie,Adventure/Fantasy/Kids/Shounen,Classic
1881,Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,7.42,2390.0,Shin-Ei Animation,Movie,Adventure/Comedy/Fantasy/Kids,Classic
1882,Doraemon: Nobita's the Night Before a Wedding,7.42,1146.0,add some,Movie,Fantasy,Classic
